Asset 1,Asset 2,T Statistic,P-Value,Volatility,Cluster
JBHT,HBAN,-5.986406027244235,1.7368168201153755e-06,0.027037500079358037,1
DOV,LYB,-5.8545551264415865,3.3214958121436622e-06,0.02923585042939626,1
EMN,FI,-5.602421707704013,1.1112766111356554e-05,0.028804689191276673,1
RTX,NUE,-5.5383398712795735,1.4998783606392174e-05,0.03339898183085427,1
JBHT,EMR,-5.442417217099103,2.3365412708516668e-05,0.022616039586022638,1
JBHT,CFG,-5.428844607920476,2.4864208662609548e-05,0.044822937957870436,1
DTE,XEL,-5.352354253732428,3.520582313328182e-05,0.014737090535099478,4
BLK,TROW,-5.248164854696175,5.6131329119671446e-05,0.01588159617035132,1
CPAY,JKHY,-5.181167123637906,7.542539769367881e-05,0.06374270771021914,1
LDOS,URI,-5.152895119505052,8.53481663899137e-05,0.09872230255266669,1
APD,PYPL,-5.152326027465085,8.556019704536231e-05,0.05554153629736587,1
TEL,CPAY,-5.06203327642424,0.00012641090417517235,0.044031677138332746,1
MSCI,XYL,-5.038449685056458,0.0001398226930127101,0.027525669727428988,1
XYL,MTCH,-5.01527256137118,0.0001543189088091481,0.18096467786395484,1
MAR,ACN,-5.004676197117742,0.00016141375355613119,0.04915738702831966,1
JPM,FITB,-4.922286819189549,0.00022819787161814035,0.010268093798526562,1
AZO,LKQ,-4.886015472331548,0.0002652827237974613,0.05916323488503319,4
SCHW,FAST,-4.86320535036848,0.00029146166852805845,0.027901770796767478,1
FI,MA,-4.803149226650322,0.0003726020139896738,0.04765293508638712,1
CZR,NTAP,-4.765265000342289,0.00043432634079632325,0.06099473654754161,1
