Asset 1,Asset 2,T Statistic,P-Value,Volatility,Cluster
RCL,DD,-6.40122698547591,2.1089323820333934e-07,0.03002072910634408,2
EQT,NXPI,-6.066314054344155,1.1662414483355148e-06,0.08389717107005065,2
CDNS,URI,-5.742474030437535,5.712300189033006e-06,0.07350830851883923,2
MPWR,TXN,-5.7348636541084845,5.924709320342137e-06,0.03981865244929291,2
LMT,APTV,-5.474703868493921,2.0142019578382933e-05,0.024025509698054448,2
TDG,AVGO,-5.431405028779673,2.4574549034847295e-05,0.0805805446095144,2
AVGO,URI,-5.3381523856209245,3.753570824790325e-05,0.03067632453060763,2
RCL,AVGO,-5.3265567111419765,3.954736765900648e-05,0.0770820575654139,2
AVGO,DD,-5.3133307698147805,4.196846606647171e-05,0.06628654558389206,2
NSC,URI,-5.206868577905054,6.73719069555295e-05,0.09994490461424063,2
TDG,RCL,-5.189608062509625,7.268378903723855e-05,0.023839059884585904,2
PPL,AWK,-5.093045708691605,0.00011063463438119449,0.011832282529578679,4
EQR,ARE,-5.055158747874256,0.00013018797189404352,0.018035877398524986,4
DVA,RCL,-5.035718129101898,0.00014146107128653273,0.03425659214250737,2
PWR,PCAR,-5.006797789463966,0.0001599687961096263,0.01903521523765495,2
AVB,FRT,-4.940192633340602,0.0002117607611172528,0.020328246280626818,4
DVA,DD,-4.928776547502096,0.00022210509127174223,0.039107121287738,2
DD,URI,-4.892034451297509,0.0002587563386490131,0.0549177040051295,2
TDG,DVA,-4.867857202676465,0.00028593149910568724,0.028570562584001275,2
WFC,MPWR,-4.866411480035166,0.00028763943972846833,0.031819852217652746,2
