Asset 1,Asset 2,T Statistic,P-Value,Volatility,Cluster
CPT,REG,-5.870103965657006,3.078795195902273e-06,0.023849791632556475,3
EQR,REG,-5.690455248545686,7.325670022765374e-06,0.02244018798654754,3
BXP,REG,-5.6153780026232,1.0455287789080177e-05,0.04698842588871869,3
BK,AJG,-5.143437806040227,8.89379019066435e-05,0.09417457564505993,3
AJG,EG,-5.089255239881375,0.00011245677203990814,0.07389057031095078,3
BK,HIG,-4.987516160913576,0.00017356680478785886,0.11266861645514072,3
MMC,AIG,-4.984158205795586,0.00017604479141997674,0.0354938738573242,3
ARE,REG,-4.876404819663141,0.0002760284897421796,0.02401335217739268,3
DGX,BXP,-4.836166816379367,0.000325667573651182,0.3431747264496192,3
AIG,TRV,-4.789691978265981,0.0003935103817433443,0.10632972070298612,3
BAX,AJG,-4.780242018677782,0.0004088506531445348,0.10313362665991248,3
AJG,NEE,-4.644166767122817,0.0007028169342553261,0.12149162672339774,3
PLD,CPT,-4.6378865459233385,0.0007203170844040247,0.021474611382102677,3
AIG,HIG,-4.602385310654119,0.0008271928626936729,0.1262735297286581,3
MMC,TRV,-4.58418819354567,0.000887578491760121,0.10773660657466494,3
UNH,PEP,-4.563423704627802,0.0009615233198869146,0.09738309785431448,3
LMT,CB,-4.546988618919603,0.0010240997371560412,0.12055427111897482,3
HIG,ALB,-4.537250082691083,0.0010629564342429687,0.1028446203227579,3
LMT,AEE,-4.525423206786007,0.0011119994326003186,0.08220321309593252,3
DUK,D,-4.499563618416501,0.0012266926916115327,0.027186478332734198,3
