Asset 1,Asset 2,T Statistic,P-Value,Volatility,Cluster
GOOGL,GOOG,-inf,0.0,6.243605296642218e-08,1
XEL,PM,-6.221778498027042,5.314798740844104e-07,0.05196630538179204,0
LNT,SO,-5.9665814560289245,1.9160134471228597e-06,0.013137134451243712,0
ESS,KIM,-5.861250869121037,3.2147834737570202e-06,0.05004628919113874,3
TDG,AMP,-5.454111060410651,2.214429823819893e-05,0.035007787856096546,1
ULTA,AAPL,-5.301103482922407,4.43330572851969e-05,0.06243931910476327,2
GWW,PPG,-5.251511092923814,5.530393908645972e-05,0.013935694810738265,1
CTSH,VZ,-5.246714139990236,5.6493712882443665e-05,0.02876623320168168,0
LNT,ED,-5.1191721906368395,9.882146202279137e-05,0.01201709852229594,0
ERIE,AWK,-5.0568187819670944,0.00012926615610058494,0.05553995910150292,0
GL,MTD,-5.0522931874661,0.00013179399815532554,0.04454588208919756,1
DUK,SO,-5.003642004224576,0.00016212261483891042,0.01643265773020063,0
SWK,CVX,-4.986360436545275,0.0001744158926346228,0.024475918184788763,1
ES,MNST,-4.947421448319421,0.0002054492735060775,0.03667617381760457,0
AMP,LYB,-4.911831700964857,0.0002383487755226122,0.11848154038780075,1
DOV,IEX,-4.851821463994205,0.00030542590692237965,0.014724557041750064,1
CNP,MO,-4.81880325361343,0.0003496034855465454,0.02045944258096738,0
FDS,PPG,-4.811031869842942,0.00036084769359876953,0.023212457554693824,1
DOV,PPG,-4.802823658470431,0.00037309519671488753,0.02180324050181118,1
EMR,HUBB,-4.777094780667572,0.0004140839056433719,0.05051283550764932,1
