Asset 1,Asset 2,T Statistic,P-Value,Volatility,Cluster
BKNG,AMAT,-5.135305511533233,9.213983776683315e-05,0.9428160059969275,2
GD,ALL,-4.934691800321406,0.00021668663087183316,0.09568097192659895,3
PHM,L,-4.89666858254844,0.00025383570781483777,0.08662308089834861,3
BA,CAH,-4.702994542485334,0.000557215848106929,0.06657441710798408,3
AFL,ALL,-4.67118087959478,0.0006319990859550098,0.06750481925674275,3
AJG,CB,-4.61242456670544,0.0007955502214984089,0.06499767357268205,3
CAH,NEE,-4.610843272696493,0.0008004577393226253,0.05141404169464661,3
EVRG,NI,-4.569106664293494,0.0009407317882862735,0.03810369559072569,3
TER,TXN,-4.437989404538896,0.0015457131001386736,0.19467156769375707,2
EXC,ALL,-4.398086982139123,0.0017920097257262944,0.061788079219908844,3
LUV,EG,-4.369555876111151,0.0019899435437726806,0.0954987182736202,3
ALL,WRB,-4.357611247945588,0.0020786768440408236,0.10105894683613129,3
WBA,CAH,-4.306405336674348,0.0025021735003273983,0.04747402101923829,3
DHI,MET,-4.206460149508996,0.0035664464062443173,0.06852391788541545,3
EXC,WRB,-4.071699721791113,0.005659903284420214,0.12144939661571948,3
BA,WBA,-4.002331758838129,0.007126523560675089,0.07832436378822333,3
CAH,BRO,-3.9806052675357964,0.007651909875005714,0.050128168598216366,3
SYY,GL,-3.8960965073605744,0.010043094323977387,0.0508813192726633,3
DHI,NI,-3.88916773603335,0.010266059257690276,0.07414971270872991,3
SJM,WRB,-3.848289366515774,0.011673753243230145,0.1292301770690174,3
