Asset 1,Asset 2,T Statistic,P-Value,Volatility,Cluster
GOOGL,GOOG,-inf,0.0,8.207529961122429e-08,0
AMT,CCI,-6.0345266375919,1.3670959255502308e-06,0.15249870800871468,1
L,SPG,-5.604765537202633,1.0990933680115922e-05,0.13324199924290875,3
CSCO,CE,-5.524166190627881,1.6020917209462724e-05,0.295085409332974,1
CMCSA,CAT,-5.49711289534837,1.8161813848823946e-05,0.15109529555931017,1
DFS,HST,-5.494437689770722,1.838794045276211e-05,0.12260946519204417,3
EL,MSFT,-5.462531846200397,2.130334471062813e-05,0.12524350787255012,0
VTR,AIZ,-5.3166026353679685,4.135659197495119e-05,0.15280869924828722,3
L,BXP,-5.309455177196548,4.270450781030907e-05,0.1225790250482382,3
PARA,URI,-5.2235643978839255,6.258928380480494e-05,0.10553167617565752,1
DE,DOV,-5.221587719882787,6.313804199725248e-05,0.06955758550297456,1
DE,IEX,-5.218270663518074,6.40692959194012e-05,0.08369570669213833,1
PRU,CPT,-5.172185350902828,7.845138081771253e-05,0.23630343527517778,3
DFS,L,-5.123694976708385,9.690300357323154e-05,0.11291765408914119,3
WST,EL,-5.084887780872269,0.00011459183427931337,0.11910407635651339,0
MDT,GPN,-5.082213115578685,0.00011591842540682566,0.08733880763050265,0
CBRE,CSGP,-5.053081609640681,0.00013135024489358146,0.2991384196405656,3
GOOG,GEN,-5.025360928180187,0.00014784120128256682,0.06113855464214485,0
GOOGL,GEN,-5.025357213468199,0.00014784353805567577,0.0611385531478667,0
SNA,ALL,-5.01980688085946,0.00015137464780499256,0.07249779991364166,1
