Asset 1,Asset 2,T Statistic,P-Value,Volatility,Cluster
GOOGL,GOOG,-inf,0.0,9.596560281189412e-08,2
HOLX,AON,-5.405451077046274,2.7667661277765183e-05,0.06763908495406647,2
COR,ARE,-5.12980219010949,9.436892963357021e-05,0.025508421265400465,2
HES,COP,-5.06703923108768,0.00012372656101334827,0.038450498188047924,2
LKQ,MET,-4.921700831896694,0.00022875576766950945,0.08755301718354248,2
WAB,L,-4.918076408416713,0.00023223535047271247,0.03429643661422819,2
J,AMD,-4.810053033310661,0.00036228797929125457,0.09226316180888164,2
FE,PPL,-4.795801914018274,0.0003838835151271654,0.0193295253410975,2
CSGP,SBAC,-4.760196458668702,0.00044328238666716967,0.1253894274192985,2
SRE,DVN,-4.682310416774452,0.0006048233641049529,0.08294702283612251,2
DLR,CBRE,-4.621790482265242,0.0007670574653027923,0.03883107434692795,2
COR,MET,-4.618750751355695,0.0007761981210399022,0.029413935858255205,2
PPL,BKR,-4.489025019962345,0.0012765273449202518,0.0510216843704692,2
LKQ,CSGP,-4.480004090097294,0.00132067920432486,0.07620421568717681,2
PFG,CCI,-4.468076027922614,0.0013812478729187947,0.08634807601431797,2
GLW,MET,-4.443546787141081,0.0015140242009487224,0.12074531118088591,2
AVB,MAA,-4.430948407415865,0.0015867481003589165,0.017520784539365248,2
CBRE,CCI,-4.425315712596218,0.0016203025760058894,0.051787056505681134,2
VRTX,NDAQ,-4.42316505946928,0.0016332873648663131,0.10942357150416714,2
MLM,CME,-4.393742546645232,0.0018209204222805705,0.1276993619607679,2
