Asset 1,Asset 2,T Statistic,P-Value,Volatility,Cluster
GOOGL,GOOG,-inf,0.0,7.867947246495759e-08,4
WST,IFF,-5.509922977831305,1.7115717292655083e-05,0.03609636332999041,4
ALB,IFF,-5.171760205102685,7.85974583874245e-05,0.04382835549629773,4
HON,PH,-4.993860126383155,0.0001689756968731154,0.016801878403678982,4
ETR,PCG,-4.855504892312118,0.00030083959395018993,0.04214863897780698,4
TJX,BDX,-4.843660882473258,0.00031582400628677295,0.028963017307751884,4
BDX,PG,-4.833620169497842,0.0003290782995414247,0.02319747116290497,4
LNT,AES,-4.833378692065362,0.0003294034610360368,0.03516454608614429,4
ES,PCG,-4.750236581401494,0.00046139194468268236,0.057149905466695836,4
TJX,DLTR,-4.693876218610385,0.0005777505523630927,0.027379293171082328,4
LNT,KO,-4.497944068016542,0.0012342312172436037,0.03561752538046183,4
EQR,MAA,-4.469441000210187,0.00137418785711028,0.018653042306244483,3
SRE,MCD,-4.436498717392192,0.0015543175552818716,0.023715238468427376,4
NEE,PCG,-4.434619891678838,0.0015652258803650306,0.05260726058465062,4
ETR,SO,-4.404548247121197,0.001749799631642546,0.03592947640382664,4
WELL,KIM,-4.403845474956404,0.001754345532452458,0.016606593693300774,3
MET,ALL,-4.386034327554082,0.0018732838581802813,0.020539542091854598,4
EVRG,ECL,-4.363072628975252,0.002037660513042578,0.02068595865378601,4
DUK,ETR,-4.361384469258707,0.0020502582428781235,0.044866430827906416,4
WELL,EQR,-4.340992877923283,0.0022082354591154954,0.016312156632198052,3
