Asset 1,Asset 2,T Statistic,P-Value,Volatility,Cluster
SO,XEL,-5.744136523317872,5.666892596581057e-06,0.018034106392397987,3
EBAY,PLTR,-5.381414688247244,3.0864430951624505e-05,0.21146730318364143,2
JCI,ROK,-5.090093452329025,0.00011205137733121533,0.04372295019067514,4
ETR,AEE,-5.019657534335625,0.00015147076384722054,0.01730213281893846,3
TROW,CPRT,-5.006859416244028,0.00015992700863537432,0.08213431227309406,4
APH,MTD,-4.984814731386505,0.00017555767704639273,0.02505146646923508,4
GOOGL,GOOG,-4.896434042944845,0.00025408259811313046,0.002731963441851081,2
GD,NEM,-4.879668416990707,0.00027233393948690086,0.06746544822284423,3
AEE,JNJ,-4.74812543420234,0.00046531924089359024,0.017193077783242715,3
CMS,JNJ,-4.681869895834546,0.0006058777682158708,0.02554816640140048,3
EL,DPZ,-4.644955458876263,0.000700647669098162,0.03603643371850046,4
FANG,EOG,-4.632114507694708,0.0007367615350848173,0.0535704912889937,3
KEYS,HD,-4.6248104193444375,0.0007580764998408158,0.03566180296072342,4
HES,KMI,-4.620083893404681,0.00077217676193878,0.07608662080973648,3
AMGN,D,-4.591466768389632,0.0008629454148964282,0.025900840425623697,3
NFLX,SWKS,-4.584521326288787,0.0008864368150197503,0.2971708673371316,2
BG,COR,-4.577904661152517,0.0009093726230586978,0.03389686017358932,3
SO,JNJ,-4.565404705082387,0.0009542273039309403,0.03382191347654775,3
ADM,L,-4.557933995829,0.0009820157962373826,0.09748309793399897,3
DOW,VLO,-4.5397552576716835,0.0010528311465589169,0.1256014628452159,3
