Asset 1,Asset 2,T Statistic,P-Value,Volatility,Cluster
WM,MMC,-5.595723579449351,1.1468183654088862e-05,0.021522091057388126,4
IR,TSCO,-5.315000141537383,4.1655196012458624e-05,0.02354591163492665,2
IR,ON,-5.210160834387116,6.640190825843342e-05,0.1294709211926509,2
MLM,FAST,-4.919379062302946,0.0002309790037740508,0.023656512659014164,2
STE,PAYX,-4.761484202673593,0.0004409905718796171,0.027233162634138178,4
CFG,MTB,-4.658257527439177,0.0006649959669777588,0.01853521859343389,1
MSI,WM,-4.567905976313376,0.0009450891899522474,0.02442932209844613,4
ORLY,MAA,-4.531555603483755,0.0010863118554672933,0.028986267246669643,4
TSCO,ON,-4.530963896689373,0.0010887660172496367,0.12430705681254581,2
IT,GOOGL,-4.4918059226030405,0.0012631967347650004,0.0564410688789109,4
LKQ,LOW,-4.444123911384725,0.0015107682535403007,0.05270265389088197,2
WST,DHR,-4.384308091079339,0.001885200403362103,0.025600924896878017,4
GOOGL,FTNT,-4.367945429862781,0.002001698848032517,0.072334498764597,4
WM,VRSK,-4.356707028538367,0.002085541090705083,0.03672343033906052,4
BLDR,ON,-4.300060636096936,0.0025598658773451073,0.05548389264591325,2
AMP,JBHT,-4.245915614990149,0.0031045068798664127,0.025924191537396772,2
PSA,PEP,-4.217867364651787,0.003426797863222059,0.026494794188350372,4
AZO,AVB,-4.213390940699345,0.0034809893451441614,0.06355842074373565,4
CDNS,INTU,-4.1275315201713045,0.004684806204430741,0.027857330182197416,4
AMP,KIM,-4.1214193515319835,0.0047835400199308,0.03334758457591378,2
