Asset 1,Asset 2,T Statistic,P-Value,Volatility,Cluster
LRCX,ON,-5.157146193303904,8.378015126587125e-05,0.045650879150573795,1
PAYC,A,-5.117244054906256,9.965032814358743e-05,0.027620168502071468,1
STZ,NVR,-5.101470933356419,0.0001066850196494377,0.07493578381603759,1
STZ,PYPL,-5.035043871805777,0.00014186829785887888,0.08640414031035298,1
FICO,CBRE,-5.030235156996453,0.0001448051800750486,0.026085116629694326,1
TTWO,LYV,-5.012435496576708,0.00015618877497742317,0.09697481454851886,1
CMS,CCI,-5.0109481969788074,0.00015717764069798633,0.024238339841679096,1
EL,SBAC,-5.0107077666086,0.0001573380556974784,0.03571873091154342,1
CI,NVR,-4.91969340173277,0.00023067680732493263,0.06582591481475811,1
JPM,FITB,-4.918459787553717,0.000231864927108009,0.011905503410532335,3
DUK,CCI,-4.911613567668637,0.00023856506235585747,0.025921101154094805,1
FTV,BRO,-4.8428283011045234,0.0003169035287776344,0.017774070911655053,3
STZ,CI,-4.830634261597742,0.0003331204246191984,0.022599697603771483,1
APD,MSFT,-4.798515343268803,0.0003796800355445253,0.029061442011423133,1
LKQ,AME,-4.792631952981029,0.00038884997816688606,0.023037644737470435,3
STE,CTSH,-4.758338368725102,0.00044660909023837926,0.022154694348794888,1
CF,DOV,-4.737155580434188,0.00048623927056445,0.0639485376110684,3
AEP,CCI,-4.713952778242369,0.0005334475587735778,0.01742058526223458,1
AXP,FITB,-4.669505620874087,0.0006361878425220235,0.018670840184282517,3
MSCI,VRSN,-4.656471632921835,0.0006696812753917361,0.01735562753187164,1
