Asset 1,Asset 2,T Statistic,P-Value,Volatility,Cluster
WELL,HBAN,-5.541901189577032,1.4752040146656228e-05,0.04123301024567084,1
TYL,MS,-5.333081507152395,3.840300619211778e-05,0.17000809179614113,4
LNT,ZBH,-5.038440707758503,0.00013982804779618088,0.08205340014158825,1
TPR,PHM,-5.020886007103217,0.0001506818727543778,0.04380426533008999,4
ADM,VLO,-4.93221761591015,0.00021893755197399385,0.05134481792614323,1
ARE,HBAN,-4.902045836186379,0.00024823737999909074,0.07315150304543173,1
AXON,MS,-4.901915394661771,0.000248371785635416,0.7266562502867252,4
WYNN,BXP,-4.887181058589885,0.00026400680183940066,0.1818188857808406,1
CAG,KO,-4.832064732054919,0.0003311781147326482,0.02409346704713096,1
BF-B,MET,-4.810423450336257,0.00036174229923542205,0.016843872851084102,1
TROW,CCL,-4.775052189118093,0.0004175141575191538,0.02801068142605891,4
VLO,KEY,-4.763647961247755,0.00043716488877409726,0.06567236527352929,1
SPGI,ALL,-4.759937958018409,0.0004437437975420174,0.02410412155329659,1
PLD,PCG,-4.750283228322714,0.00046130552342283737,0.030232140190918595,1
CDNS,ROK,-4.712433756255226,0.0005366842616034717,0.03239475481748999,4
CPT,SHW,-4.62340700098861,0.0007622377608099234,0.026157709513253736,1
ROST,ETN,-4.5994713128520015,0.0008365962744532615,0.04543094046829389,4
ADSK,NDSN,-4.5978694325286815,0.0008418081304332074,0.051949779068135964,4
AXON,DECK,-4.57749744763243,0.0009108021876525106,0.39823605053875905,4
HUM,CPT,-4.564695457088149,0.0009568334819565549,0.059565094250970445,1
