Asset 1,Asset 2,T Statistic,P-Value,Volatility,Cluster
GOOGL,GOOG,-inf,0.0,1.2419495093795493e-07,2
DECK,IBM,-5.905499722867502,2.5888763224534046e-06,0.16193012449660607,2
AXON,EBAY,-5.7944990477179035,4.445924818317462e-06,0.23184698615548885,2
UNH,MNST,-5.635832048039905,9.493302113790962e-06,0.2726709448984163,2
LKQ,TFX,-5.301308806453006,4.429231363777096e-05,0.09121431795595279,2
MCK,AIZ,-4.917656545984294,0.00023264166934974738,0.06250660657452625,2
PLD,AVB,-4.912647338842628,0.0002375416913126873,0.01853952001340792,3
BK,EBAY,-4.787869872509465,0.00039642521831034213,0.15053614039971724,2
BF-B,DTE,-4.432462123824402,0.0015778415689853716,0.051183174838369074,3
CI,PRU,-4.27041498309816,0.002846057407871125,0.04694162556076427,2
ETR,EXC,-4.229960926016959,0.0032842427828779883,0.022707295226577814,3
CNP,CMS,-4.069064341852103,0.005710189661453443,0.07953574088754596,3
MLM,DLR,-4.040973261632876,0.006271961139543457,0.026027673066699918,2
DUK,ETR,-3.9729079870345694,0.007846257130626876,0.02078201205988078,3
OXY,OKE,-3.9585167487636905,0.008221578264379565,0.06766858556902881,1
MCK,PRU,-3.777413989423381,0.014524885171969641,0.05499032220396058,2
AVB,REG,-3.7631209319269936,0.015169245140078126,0.01477198297693496,3
DLR,PRU,-3.754082153693235,0.015589612527632125,0.029276219692609573,2
EOG,OKE,-3.6987811087768527,0.018391618542653764,0.12071487779082725,1
CVS,MNST,-3.658780993091782,0.020683840828501342,0.26215614663444825,2
