Asset 1,Asset 2,T Statistic,P-Value,Volatility,Cluster
POOL,NVR,-5.955668511763414,2.0222156022003575e-06,0.03602167670654928,2
LHX,MTCH,-5.728875909816255,6.097198086987524e-06,0.06164047912278968,2
WTW,ALL,-5.517105370717739,1.6554907841517193e-05,0.016851847312310528,2
LMT,CINF,-5.4459709410838855,2.2987610871058204e-05,0.022715942029476962,2
DG,WMT,-5.4436689025366904,2.3231665960208154e-05,0.026078168758610538,2
CHTR,LH,-5.3607643919807755,3.3892392029914275e-05,0.03108366990938453,2
VMC,APD,-5.300285087029311,4.449581500593594e-05,0.025040640692845572,2
EQIX,FE,-5.285345041978561,4.7569904990030924e-05,0.073987050429229,4
EQIX,SO,-5.1762978274629905,7.705171797569375e-05,0.05179980517539333,4
AVB,CPT,-5.175788042049583,7.722391329592065e-05,0.011555580002947331,4
SPGI,PG,-5.107245096736554,0.00010405640962342342,0.03445453421547862,2
TROW,FSLR,-5.095714385342596,0.00010936872147806517,0.060366791739195,1
FICO,CSGP,-5.026265263341735,0.00014727336790910044,0.02772956047570598,2
BRO,FIS,-4.996296522953039,0.0001672434228699043,0.021283997014749367,2
BALL,SBAC,-4.931621183386007,0.0002194834799051651,0.029688680505158282,4
NI,SRE,-4.902597574308397,0.0002476696381918894,0.040237089606155234,4
SNPS,CPAY,-4.874579099604212,0.0002781159855944927,0.02616226483248861,2
IEX,AMD,-4.871643228691416,0.00028150424693064414,0.09370895919538154,1
TXN,CE,-4.8702871767783975,0.00028308244095736745,0.03199189923627782,1
NDSN,MCHP,-4.859034432147227,0.0002965062091528467,0.036724560303494476,1
