Asset 1,Asset 2,T Statistic,P-Value,Volatility,Cluster
UHS,CTSH,-5.2676726526138555,5.146993703092149e-05,0.04378583797145994,3
VMC,AME,-5.081756141512898,0.00011614653970716008,0.02343572674444736,3
MLM,AME,-4.730892189486242,0.0004985787339887299,0.023146331070645267,3
CSCO,BBY,-4.705268080999625,0.0005522039784255202,0.048553230201751646,3
DUK,CMS,-4.698664580997197,0.0005668797566120491,0.009780548792909054,4
BBY,SPG,-4.675269549484236,0.0006218846412187761,0.03814649244345341,3
CPB,K,-4.626724521290974,0.0007524354015192677,0.01947429883682677,4
LYV,SWKS,-4.602260089587817,0.0008275949011091968,0.04092684908693404,2
SWK,BALL,-4.504450326564744,0.001204206215340831,0.06263335059395601,3
CSCO,SPG,-4.4552797505505435,0.0014490972296683693,0.0419164743782201,3
BX,DD,-4.45220589805655,0.0014658517035620196,0.03977205301002444,1
UHS,COO,-4.451558734873612,0.0014694020685575117,0.0469180677773958,3
BK,PNC,-4.448843315221733,0.001484386435081552,0.037838561141984056,1
GOOGL,GOOG,-4.434997735997145,0.001563026439103977,0.003158785404722533,2
STT,PNC,-4.43362582153285,0.0015710261469868932,0.053721405570040695,1
NWSA,NWS,-4.387942806978806,0.0018601906152613033,0.005889126167226231,1
MCK,CI,-4.3604108128085635,0.0020575568300411637,0.02535912832362358,4
COO,CTSH,-4.350238348167895,0.0021352627278933894,0.029848119438951503,3
TROW,NWS,-4.346309707679484,0.002165993635335587,0.05052496294013238,1
TFX,UHS,-4.338148097434467,0.0022311488295813516,0.03761779372286786,3
