Asset 1,Asset 2,T Statistic,P-Value,Volatility,Cluster
IQV,UNH,-6.634708236582137,6.175287293028092e-08,0.01863386681864032,2
TYL,TMO,-6.023046633680793,1.4476243282606848e-06,0.02570209541137743,2
CMS,LW,-5.991055623080813,1.6972147421618838e-06,0.04180760583586789,2
ROK,MHK,-5.921252760928009,2.396069112407521e-06,0.018139513609647495,2
TYL,MTD,-5.831618956722088,3.713786945047529e-06,0.07035580134910711,2
AME,TTWO,-5.822621769866432,3.879666648847076e-06,0.08374219094924731,2
CMI,SPGI,-5.806697973556008,4.191068340804694e-06,0.04757726020250514,2
PAYC,EPAM,-5.756654344075489,5.336064671620735e-06,0.055333600454217695,2
ATO,SYK,-5.74196421288776,5.7262954163706184e-06,0.021269377103944317,2
TYL,DGX,-5.731120633836544,6.03197099484818e-06,0.02303978565698754,2
TYL,MCD,-5.683531606510354,7.571219746574103e-06,0.04008755477161046,2
TYL,A,-5.6587681288141045,8.516473483992237e-06,0.041438982102451886,2
TYL,BAX,-5.6383942548465065,9.379015666751275e-06,0.05236711877438398,2
ROK,SPGI,-5.634471180085505,9.55455044307761e-06,0.04404944825276767,2
LEN,EFX,-5.5517977443824265,1.4086790307767034e-05,0.024068116929638915,2
TYL,ISRG,-5.536801302707038,1.5106611867151972e-05,0.0804809275841994,2
MAS,AME,-5.536214325971071,1.514794636985163e-05,0.02487929802654696,2
GD,ELV,-5.533717242571157,1.5325014164926563e-05,0.04891694354754016,2
GD,MCHP,-5.494750281014959,1.836137849763384e-05,0.041191984210739586,2
TYL,MAS,-5.485946490060984,1.9123826279007163e-05,0.02219119915404419,2
