Asset 1,Asset 2,T Statistic,P-Value,Volatility,Cluster
GOOGL,GOOG,-inf,0.0,5.93470822314829e-08,1
NTRS,HES,-5.40526552385399,2.7691070995277196e-05,0.037118850076852686,2
NTRS,RJF,-5.216409716008507,6.459750521275589e-05,0.03071257270396428,2
GE,HIG,-4.963944502901218,0.0001916881632049292,0.07802789366350432,4
NTRS,STLD,-4.958788341738935,0.00019588538756733277,0.04898282873113638,2
AVB,CPT,-4.928179224561439,0.00022265935167177427,0.017108170470550944,3
IVZ,NTRS,-4.811731553725136,0.00035982148383451013,0.03312977517964382,2
MMM,IEX,-4.80516733612606,0.0003695586434073373,0.03933737435805178,2
JNPR,HES,-4.801969908315498,0.00037439142432053115,0.13522634924032392,2
PHM,FI,-4.800843613138193,0.0003761079697223925,0.1651795060982334,4
APH,RCL,-4.79608462445846,0.00038344351149754036,0.13529004081724277,2
PTC,BLK,-4.773559463043467,0.0004200379532403437,0.046739787037863224,2
APH,PFG,-4.754196177362156,0.00045411029880194984,0.04111515788143359,2
BX,PPG,-4.747460882381615,0.0004665620013934908,0.056254285411700834,2
PNC,TXN,-4.7325121513626796,0.0004953592334224496,0.025759711657045412,2
KKR,GL,-4.732510883378829,0.0004953617457160931,0.08245129225967615,2
BX,KKR,-4.703144761451854,0.0005568833818065877,0.05019688070588383,2
RJF,NUE,-4.698821789784782,0.0005665261414822613,0.025061522754924525,2
RCL,HBAN,-4.620790059451644,0.0007700545795423471,0.09762025832202356,2
PCAR,PH,-4.608717680654459,0.0008070992534903525,0.04596625923187835,2
