Asset 1,Asset 2,T Statistic,P-Value,Volatility,Cluster
GOOGL,GOOG,-inf,0.0,7.305458976331124e-08,1
BX,SPG,-6.719357101721789,3.9298734278357395e-08,0.16940114803464543,2
ISRG,TMO,-6.476462876999099,1.423982518686356e-07,0.10189491575513217,4
KIM,SPG,-6.3003636483201015,3.553433765459165e-07,0.08852551972898756,2
BEN,MCO,-6.171550265152998,6.861712586829403e-07,0.05571993109520846,2
BWA,ZBRA,-6.045996835018773,1.2910056981157116e-06,0.10849154279869626,1
MET,PFG,-6.000969759579778,1.615689541352162e-06,0.16173801259781678,2
AME,TTWO,-5.704694431878861,6.844703583646136e-06,0.17170233988630543,1
AMT,CCI,-5.700132220134633,6.995369800609479e-06,0.19911015778735167,1
NTRS,CSGP,-5.668673072199033,8.12541213228938e-06,0.06318536922101306,2
SWK,EFX,-5.631277413524623,9.699798400915017e-06,0.03207086647818519,1
FICO,HPQ,-5.617217070438714,1.0365070162508268e-05,0.1274457917189781,1
CPT,EQR,-5.600916027361761,1.1191719913017537e-05,0.0966893963331186,2
FICO,PPG,-5.591417456010757,1.1702458828447622e-05,0.1056085622654757,1
NOC,SWK,-5.495883708841486,1.8265377604365445e-05,0.06662432151460206,1
TROW,WYNN,-5.4270079355657606,2.5074015550284734e-05,0.13777656795047927,2
BG,J,-5.415151692606149,2.6470024741367415e-05,0.11717242191734346,3
CRM,ROP,-5.373092591023631,3.205197789465661e-05,0.1958502986685914,1
AME,DOV,-5.368628673728096,3.270697602292736e-05,0.05659172473921373,1
BSX,HIG,-5.357345731153871,3.4420500745051834e-05,0.5052496808798449,4
