Asset 1,Asset 2,T Statistic,P-Value,Volatility,Cluster
NI,XEL,-6.814025388880309,2.3613176860298222e-08,0.03111094106738627,4
NDAQ,CINF,-6.712934402590791,4.0674537213581184e-08,0.0229078613409469,4
IT,IBM,-5.815164751135127,4.0225881656813825e-06,0.04797285660674894,4
MCO,MMC,-5.759526283621561,5.262850376048983e-06,0.04633824115266551,4
DOC,DGX,-5.640345239499313,9.292887379827571e-06,0.03629243907280177,4
D,XEL,-5.549014092272659,1.4270918298522878e-05,0.026699656716426098,4
MHK,DHI,-5.453883353698864,2.216747743452351e-05,0.03958745879462266,2
EVRG,XEL,-5.395726547992435,2.8920576432618927e-05,0.027439544865575437,4
PPL,XEL,-5.254820131607852,5.449726719990429e-05,0.025614895968962943,4
CMS,XEL,-5.151484959631775,8.587448321862112e-05,0.026750489503781207,4
FOX,DOC,-5.131291692489428,9.376057423862542e-05,0.03671296661555509,4
DOC,PNW,-5.10079947595506,0.00010699477930819053,0.02142521156028211,4
DG,DLTR,-4.917863019235342,0.00023244177199030928,0.05589547527109736,4
AJG,MMC,-4.8458627253284385,0.0003129858735489656,0.030107623056504922,4
FOXA,DOC,-4.821170490324093,0.0003462448461463632,0.035406666706864,4
DXCM,REG,-4.801574209277143,0.0003749936483926983,0.3772403312635276,4
ICE,KIM,-4.801209607692809,0.00037554935572304974,0.02930477863046046,4
HWM,SRE,-4.742656448946296,0.00047564030670101907,0.09391976222016131,4
MMM,PNW,-4.702960155283975,0.0005572919805524073,0.0905421537918856,4
MCO,MO,-4.669913946799383,0.0006351644779158858,0.02913352597128228,4
