Asset 1,Asset 2,T Statistic,P-Value,Volatility,Cluster
GOOGL,GOOG,-inf,0.0,7.383680770849832e-08,0
COR,EFX,-5.353073693592085,3.5091577450977016e-05,0.024225299412173402,0
CMCSA,PKG,-5.113676809713757,0.00010120137391598595,0.0469270519572555,0
PCAR,IEX,-4.90315677583573,0.00024709547494162695,0.02197557785772812,2
CB,TRV,-4.834583354569748,0.00032778434521618844,0.020651345346110923,0
EMR,APH,-4.812619985012479,0.0003585224231102016,0.023044822612060808,2
KR,CAG,-4.772186611155499,0.000422371796506186,0.028062051288723626,0
PCAR,ROK,-4.728682355886053,0.0005030023857534089,0.03666807631427616,2
PCAR,DOV,-4.67850536496215,0.0006139881796624339,0.026967120546981273,2
RVTY,CPAY,-4.630417865384236,0.000741661915465227,0.07042629229742092,0
BG,DPZ,-4.568582763981435,0.000942630749020915,0.06335023726893932,0
TYL,HCA,-4.550368534437196,0.0010109274881287364,0.05833368554101383,2
TT,ETN,-4.4882061194061444,0.0012804777941481994,0.060898832499082615,2
MS,RJF,-4.453388082980057,0.0014593868013915963,0.07705237438527036,1
BG,V,-4.445787427484206,0.001501419666338573,0.022795502125078106,0
JPM,GS,-4.433352843808882,0.0015726224311853414,0.03836232112513855,1
CRM,CSCO,-4.430748855954011,0.0015879257202974157,0.028514991449656524,2
BRK-B,TRGP,-4.414923829563502,0.0016839454857683644,0.06385691551337061,0
CSX,NSC,-4.389742854147414,0.0018479191384574401,0.029861138961910488,3
CPAY,JKHY,-4.381313462624604,0.0019060398526422864,0.10364769024297327,0
