Asset 1,Asset 2,T Statistic,P-Value,Volatility,Cluster
GOOGL,GOOG,-inf,0.0,7.300015661214105e-08,3
TYL,COR,-5.532465872729522,1.5414499341786746e-05,0.02189932226444736,3
NDSN,NVDA,-5.330711275080448,3.8814979668280694e-05,0.06405453848356993,3
MCO,GWW,-5.278720963510686,4.899726150054145e-05,0.06358962051605496,3
DXCM,IDXX,-5.278445545545847,4.905749069610687e-05,0.10165334917433412,3
ROK,AVB,-5.2394192164631175,5.835025830478698e-05,0.03463521475959532,3
AVB,SBAC,-5.109776166138905,0.00010292379788522225,0.06861471287089987,3
GILD,CPT,-5.1079546360945,0.00010373770615228117,0.04671473746091306,3
ROK,SBAC,-4.921041398096884,0.00022938513937429615,0.053610391193911415,3
WM,AVB,-4.883207801399302,0.0002683802439093903,0.02305840217939576,3
GILD,RJF,-4.793582916213761,0.0003873537332317309,0.0367111302333638,3
AVB,CSX,-4.788157176428056,0.0003959642640842686,0.022884285838731665,3
EXPD,FAST,-4.779794114010577,0.00040959159762006737,0.037399715376506396,3
DVA,MTD,-4.733663992800625,0.0004930820153271105,0.0265567700265873,3
CHRW,EXPD,-4.705086786810472,0.0005526020656994165,0.020647519806816724,3
PNC,WRB,-4.700888271512435,0.0005618972131210741,0.07993208689840839,3
LKQ,UNP,-4.69874862777337,0.0005666906814462035,0.06208573252155852,3
EMR,NSC,-4.651534484235948,0.0006827959924916358,0.0525395865968249,3
WM,MAA,-4.615906556003819,0.0007848433155803062,0.020520559717922705,3
BEN,IT,-4.600511820380992,0.0008332271262978084,0.030147880085732555,3
