Asset 1,Asset 2,T Statistic,P-Value,Volatility,Cluster
BK,NUE,-6.322182350127203,3.175692907035261e-07,0.17589725290981004,2
GOOGL,CRL,-6.186491682127556,6.360567876409446e-07,0.04783289250832303,4
BK,STLD,-6.038666796873559,1.3391398355761419e-06,0.11311623215499261,2
GD,BK,-5.7107270511916255,6.650301920968871e-06,0.025594743710515053,2
GOOG,CRL,-5.68960567715364,7.3553796177516e-06,0.04663868982864948,4
META,INVH,-5.657983852031461,8.54820535205082e-06,0.027158155123497202,4
NDAQ,GOOG,-5.349254953015225,3.570209184746223e-05,0.027359751118774346,4
KIM,REG,-5.33173788152057,3.8636024483828594e-05,0.028873263064428306,2
CBOE,ERIE,-5.187205303317254,7.345432392312243e-05,0.2215614270647031,4
NDAQ,CPT,-5.169406544259832,7.941088759962023e-05,0.033596615633904425,4
EPAM,GOOG,-5.143525618209175,8.890391573268307e-05,0.07042663285485246,4
FRT,SPG,-5.1205652495401734,9.822672165483404e-05,0.01984128648961634,2
EPAM,GOOGL,-5.105638372569874,0.00010478156466343198,0.07343393158009233,4
ORCL,DOC,-5.0804930834822954,0.00011677927135932108,0.06605335614032881,4
GOOGL,TECH,-5.067090769230502,0.0001236992098727379,0.031533828918729224,4
TGT,ROP,-5.015162990931781,0.000154390727118631,0.05505408208082021,4
ISRG,MTD,-5.002602427828982,0.0001628381553281496,0.0244117247924482,4
GOOGL,WAT,-4.96425223981266,0.00019144038477099886,0.04190828466166528,4
CTAS,MSCI,-4.95664308429762,0.00019765730932104592,0.10252756984800307,4
IRM,PM,-4.943804081312138,0.00020858489798622454,0.061947676168771365,4
