Asset 1,Asset 2,T Statistic,P-Value,Volatility,Cluster
GOOGL,GOOG,-inf,0.0,7.777069802723525e-08,1
C,RF,-6.136151129681628,8.208028164205513e-07,0.0366871810751509,2
BX,CVX,-6.1053873080315535,9.58506237594125e-07,0.11360354205357712,2
HRL,TRV,-5.788854842681207,4.5688764324362385e-06,0.05833305985604084,1
DOC,DTE,-5.619272695304928,1.0265121042108981e-05,0.022378128013857253,1
WBD,IP,-5.451037772968132,2.24591219122254e-05,0.021863911991347747,3
CL,WTW,-5.415315255177771,2.6450266108113134e-05,0.023083213346429765,1
MAS,PARA,-5.376278280868461,3.159227894539991e-05,0.03745716876355593,3
T,XEL,-5.362492021185729,3.362848632312291e-05,0.017006202380188323,1
EVRG,T,-5.220105945903394,6.355242996213685e-05,0.028238696653970514,1
AXP,WFC,-5.219327585689565,6.377114732100852e-05,0.035257981665940276,2
SJM,PEP,-5.1487372316616815,8.690896200702568e-05,0.016395938305649168,1
SCHW,RF,-5.143594602507806,8.887722527687872e-05,0.046947884695866075,2
WST,ACN,-5.143094975703287,8.907070750544365e-05,0.02808322203461074,3
ADM,EG,-5.071564574335979,0.00012134685269908032,0.026258755127915284,1
DOC,D,-5.057291228400671,0.0001290049479745106,0.02169187736621317,1
MAS,IFF,-5.051645036482055,0.0001321598728937493,0.043759643499728225,3
KR,PEP,-5.051263883104472,0.00013237548260595352,0.06179419252331993,1
CMI,EMN,-5.030042235695257,0.00014492420673453078,0.02616428049361779,3
CVX,ENPH,-5.020960700672825,0.0001506340331769009,0.3244011862204179,2
