Asset 1,Asset 2,T Statistic,P-Value,Volatility,Cluster
GOOGL,GOOG,-inf,0.0,6.659834229263416e-08,4
AOS,DD,-6.023772664165901,1.4423972777216678e-06,0.017683585221804292,2
GD,COF,-5.821994696774158,3.8914925709089e-06,0.020241550320049168,4
AON,MA,-5.764654815543002,5.134527199384326e-06,0.0314706124094463,4
IEX,COP,-5.331435772122134,3.868860477787263e-05,0.017298478616469274,4
PKG,SBUX,-5.3136669899005025,4.190519024494768e-05,0.022999402493593963,4
BRK-B,WDC,-5.2897406949552,4.664487295584851e-05,0.0821674545459399,4
TJX,PKG,-5.27002344377139,5.093398179635043e-05,0.0459615014530921,4
SNA,AIG,-5.1682526553532755,7.981261300884045e-05,0.02291138622935955,4
ALGN,LOW,-5.15424956931409,8.48455508129637e-05,0.06940824092099576,4
MKTX,CNC,-5.152698830900182,8.542124213516812e-05,0.049254953854798465,4
ODFL,FANG,-5.108931507655328,0.00010330045177064307,0.15433782126273934,4
AXP,WDC,-5.104084829580594,0.00010548730991423859,0.06451928749146457,4
CI,UNH,-5.026176235927686,0.00014732917592017876,0.021235887551060956,4
PNR,SBUX,-4.9710383029822145,0.00018605334885504865,0.035282940152403575,4
CNC,TSCO,-4.963380788639607,0.00019214283700275602,0.044718768036106395,4
MMM,PARA,-4.944860577765039,0.0002076644258372075,0.03312286648131823,4
SNA,PKG,-4.927164512008475,0.00022360392601713985,0.04093109821047071,4
ITW,AIG,-4.892836790708067,0.0002578979631261241,0.0224892611679101,4
ORLY,LIN,-4.882767843963901,0.0002688687201089852,0.05167502377905154,4
