Asset 1,Asset 2,T Statistic,P-Value,Volatility,Cluster
ADBE,WY,-5.522789739429409,1.612369123004874e-05,0.05974372546059295,2
ACGL,HIG,-5.46329040927059,2.1229121230814097e-05,0.07650021551484416,3
CI,ERIE,-5.095659997041453,0.00010939438234968485,0.06209465719700522,3
AME,A,-4.997305609882766,0.00016653092997776908,0.021333759470432246,2
DOV,CDW,-4.937416304310429,0.00021423343782893414,0.023653748433557116,2
TT,IT,-4.8944491222952635,0.0002561811927499099,0.025487474805092235,2
TXT,SPG,-4.877513290373977,0.0002747683462798598,0.04717943549208708,3
AXON,DRI,-4.831759141696683,0.0003315921457221772,0.16579109339615467,3
EQR,INVH,-4.807182846642312,0.00036654268003821305,0.016380847026316796,3
TXT,WAB,-4.805711340594429,0.00036874230202669085,0.023046111170157348,3
ROST,SBUX,-4.794911885320088,0.0003852718548314737,0.06558503046583178,3
WAB,SPG,-4.75678832788497,0.0004494022934331692,0.03544375645514942,3
ROK,SNA,-4.752478320258667,0.00045725598629238717,0.04659830795589428,2
PCAR,STLD,-4.737272681178119,0.00048601133938330114,0.09445965502438076,3
JCI,A,-4.668282217452407,0.0006392632871586918,0.04115897249212138,2
CMI,DRI,-4.604550133489802,0.000820271320451634,0.024638638841438847,3
AVB,INVH,-4.595610560817552,0.0008492093368356834,0.016546869396157106,3
HES,MPC,-4.5772139166773975,0.0009117987953344368,0.03319039217174704,4
ORLY,DXCM,-4.549590807466688,0.0010139443347408656,0.06964737905973643,3
APD,AIG,-4.5368358194294,0.0010646395320561776,0.03901341708880486,3
