Asset 1,Asset 2,T Statistic,P-Value,Volatility,Cluster
GOOGL,GOOG,-inf,0.0,6.116439007956044e-08,0
BBY,J,-5.2276525722561615,6.146881934472365e-05,0.032173789885123885,2
DOC,VTR,-4.753373844830263,0.0004556135703882501,0.019066187681154628,2
EVRG,SO,-4.615455773756638,0.0007862217806736917,0.01503894533273525,0
UDR,TSCO,-4.5437619278513495,0.001036824531349226,0.02783901191215752,2
O,PSA,-4.460792540420794,0.0014194949357601596,0.023647648497996165,2
ODFL,TSCO,-4.446095812508481,0.001499692539201506,0.031493689709091575,2
APA,CE,-4.429841532936666,0.001593290394510161,0.029957734219707415,2
TSCO,O,-4.400747581249272,0.0017745153763601032,0.043481930004759466,2
MAR,CPT,-4.2860888301178885,0.002691265418456691,0.036723000098297535,2
WBD,ESS,-4.248386180745526,0.0030774980316861187,0.034292339295956306,2
LNT,EVRG,-4.162442856265326,0.004155630339695824,0.015205897258104882,0
UDR,EXR,-4.131250428881016,0.0046256453375868945,0.027040936149131455,2
EQR,TSCO,-4.1262466926771655,0.0047054052506930975,0.03440140396618349,2
O,SPG,-4.107960282490347,0.0050076727469267925,0.02506452901559756,2
NFLX,CMG,-4.033953661984019,0.006419943671018774,0.14828815360327624,2
CSX,NSC,-4.008073344387304,0.006993232615366767,0.015649236827408562,2
FRT,PSA,-4.003439138817833,0.007100638592185077,0.02366158760895936,2
XOM,HES,-3.9740509209443036,0.007817121222779751,0.03312647026998585,0
BLK,GILD,-3.9429069348332813,0.00864686195931946,0.05239533756967053,2
