Asset 1,Asset 2,T Statistic,P-Value,Volatility,Cluster
PPL,ATO,-5.509293669874313,1.716571953065517e-05,0.010875947121369587,3
EXC,PEG,-5.502226044155282,1.773706403627864e-05,0.013609505675308844,3
MSFT,TMUS,-5.253859102637959,5.473037389762276e-05,0.07293696056959742,1
DGX,MCD,-5.1773241165582995,7.670617299820273e-05,0.023178815341065716,1
CFG,HBAN,-5.12070094077864,9.816897414222255e-05,0.037504473742962875,2
ROL,EG,-5.084666938330528,0.00011470081692550754,0.027565276425048257,1
CMI,ROK,-5.021850441867585,0.00015006528622065265,0.032733821543942616,2
ROK,PH,-4.9953333393661445,0.00016792621289956358,0.021871889447952143,2
ROL,TMUS,-4.967182251932525,0.00018909646525556558,0.030855046733177127,1
MS,EMN,-4.93333488612612,0.0002179183620839764,0.09272294324098362,2
ZBRA,MPC,-4.922936605929527,0.0002275807465422805,0.061447086455525914,2
FRT,SPG,-4.887658192180342,0.00026348618433834494,0.023969093075921415,3
NTRS,VLO,-4.88534685723964,0.00026601727011083074,0.02847629631705521,2
PRU,EMN,-4.87200813127716,0.0002810809950489558,0.07280207888058397,2
VLO,KEY,-4.86266840280531,0.00029210648794847816,0.09035827149661128,2
DGX,WRB,-4.81853223074821,0.0003499899751919331,0.032022900997915875,1
CHRW,ADI,-4.798459499746385,0.000379766104360833,0.057478343396813424,1
PWR,LUV,-4.790046650269401,0.0003929453719370063,0.03252176625052067,2
GM,CFG,-4.789666637428427,0.0003935507803292218,0.1209239692632117,2
RJF,EMN,-4.789468374487513,0.0003938669882699462,0.05958950338820114,2
