Asset 1,Asset 2,T Statistic,P-Value,Volatility,Cluster
REG,AWK,-5.660813300146355,8.434261707521667e-06,0.012745654031869962,3
NI,SRE,-5.241036619941061,5.793364764480973e-05,0.01832605400394306,3
BR,ROP,-4.871203077627635,0.00028201558430114907,0.018443643455533204,4
WM,ALL,-4.667145165480307,0.000642134196564318,0.017385656644499935,4
NI,KDP,-4.653856397828151,0.0006765984158895026,0.030372130583755916,3
WM,WRB,-4.507212754365429,0.0011916656190902905,0.014923129481372211,4
MCO,IRM,-4.4662947619560045,0.001390511919906119,0.061565096192284445,4
SWKS,AAPL,-4.3937023842051035,0.0018211896974817108,0.059969851338601644,2
UHS,SWKS,-4.393685595857303,0.0018213022684715387,0.050561730251687816,2
ODFL,WM,-4.276574587827286,0.002784273179152297,0.03254065086227477,4
HAL,APA,-4.2513043826219565,0.0030458740222747745,0.02412086170704002,4
RSG,KMI,-4.169404027845653,0.004056885491025027,0.034829772265616114,4
AMP,MMC,-4.1215237955110124,0.004781837058814176,0.027484370000420175,4
ELV,NSC,-4.0521093749966575,0.006043526443796135,0.03791962551543682,4
ODFL,ALL,-4.047354120911851,0.006140131989394991,0.042335663937682316,4
CB,WRB,-4.002612013950597,0.007119964568579853,0.034960325609441095,4
ARE,FRT,-3.971240287702157,0.00788894589501568,0.013894306446911777,3
AMP,PFG,-3.94117644129587,0.00869520463183992,0.016054940029613274,4
LRCX,AAPL,-3.904105113664537,0.009790781133162564,0.03629380839640592,2
NWSA,NWS,-3.9033562798502364,0.009814130695923417,0.005658623360566317,4
