Asset 1,Asset 2,T Statistic,P-Value,Volatility,Cluster
DG,WMT,-5.5081577835489215,1.7256329826272883e-05,0.020350881779598217,4
ROL,VRSK,-5.368145981101052,3.2778569573911585e-05,0.029432313745058346,4
ATO,AEE,-5.298502518119422,4.4852311882075054e-05,0.02655588267337103,4
FCX,WDC,-5.229271047596741,6.103057490322503e-05,0.09852352274786168,2
HSY,MRK,-5.112125332538445,0.00010188313909476723,0.0365161507181307,4
FE,CLX,-5.109929186028776,0.00010285570320984382,0.06353717973660132,4
RSG,AVB,-5.079393268563333,0.00011733290671613801,0.016463281299850134,4
CHD,AEE,-5.065439091545819,0.00012457862903604783,0.05741408477265384,4
CLX,UDR,-4.981492050431512,0.00017803622613614807,0.05760170792785535,4
AZO,EXC,-4.746641835878121,0.00046809798956448347,0.04710570511802145,4
EA,META,-4.66299324048929,0.0006527206275974212,0.07412400871949151,3
TROW,MU,-4.575220374112309,0.0009188349767095276,0.08805159012441806,2
EXC,WELL,-4.562965680617678,0.0009632176398338139,0.05066409271343626,4
BLDR,STX,-4.543272191333823,0.0010387687389689561,0.06518720416567544,2
PG,AMT,-4.532076479756809,0.0010841557518009896,0.03230341729979258,4
ES,XEL,-4.528906671255813,0.0010973389618843278,0.011835727246289613,4
ISRG,V,-4.498804342081724,0.0012302215294731308,0.02519070387362959,3
PG,O,-4.433109902382759,0.001574044341709588,0.021739862541954914,4
AEP,DUK,-4.431041676833762,0.0015861979649174987,0.007280043899116948,4
BLK,BLDR,-4.423931489281827,0.001628648911448799,0.08212446873702425,2
