Asset 1,Asset 2,T Statistic,P-Value,Volatility,Cluster
STZ,WMB,-7.959739521063462,3.8132782367533334e-11,0.04210687218930283,2
ODFL,WMB,-5.827914529946974,3.78123273145633e-06,0.032242766109122294,2
FDX,DHR,-5.16575115468125,8.069020230276398e-05,0.027553562880758442,2
LIN,ALB,-4.985183164627859,0.0001752848776749431,0.026050317221629295,2
ADSK,PNR,-4.898202238960191,0.00025222689615012707,0.09635975145980549,2
JBHT,AME,-4.702451006553999,0.0005584203714384761,0.0444744902717707,2
MTCH,TRV,-4.588382813514238,0.0008733032162080603,0.0857015156227778,2
ETR,SO,-4.557598132093282,0.000983282718593766,0.030935002752639534,2
EXPD,ROP,-4.524471538756912,0.0011160363371378746,0.04823845872144151,2
BAC,PNW,-4.50267184487215,0.0012123450809485208,0.01458193538029619,2
EXPD,PNR,-4.479220745388201,0.0013245796454581392,0.04143572256867346,2
JBHT,AMT,-4.447560142139883,0.0014915166927437012,0.035889427326653345,2
WMB,AMT,-4.426332968596091,0.0016141942840384638,0.0370302789922682,2
OXY,TPL,-4.403863859560946,0.001754226471562817,0.0891539295602294,1
REG,PSA,-4.153218306637446,0.004289867149049583,0.023369973446152905,3
SO,AEE,-4.105779643930318,0.005044874072960518,0.01674885534541282,2
HES,EQT,-4.101055422229387,0.005126332952076891,0.0438849490003318,1
ADSK,CME,-4.0746984566240645,0.005603172962942858,0.05392815183568008,2
FRT,REG,-4.053188750970308,0.006021791120684856,0.01589267993044924,3
ADSK,NSC,-3.9650674919852,0.00804877844424311,0.06932970091927833,2
