Asset 1,Asset 2,T Statistic,P-Value,Volatility,Cluster
GOOGL,GOOG,-inf,0.0,7.234575859002939e-08,3
RVTY,CNP,-7.444190065856756,7.247492373850199e-10,0.028479072734289557,1
DLR,ETN,-7.005285847700511,8.336944532021165e-09,0.03558580534032093,3
SNA,O,-6.739085058817938,3.5352845402424075e-08,0.028148554317889127,3
SNA,MCD,-6.694155893571355,4.4974627453911544e-08,0.03979764178530994,3
RL,SNA,-6.6692352184335935,5.1377938369415115e-08,0.08630612814271076,3
RVTY,NEE,-6.628912055703549,6.36857950727506e-08,0.03820972331612887,1
TPR,SNA,-6.376123211258302,2.402602351617864e-07,0.12003426308979294,3
ZBH,CHD,-6.269438173599369,4.165171669196232e-07,0.021956418616067515,1
EQIX,SNA,-6.134604018274015,8.272409356644687e-07,0.11019998819933595,3
RVTY,XEL,-5.933471522354427,2.2562168542450446e-06,0.03562319921490574,1
ZBH,NEE,-5.722188205601639,6.2956115228643094e-06,0.04097527171065663,1
ZBH,CNP,-5.694366105894064,7.190400837206072e-06,0.02523138773130387,1
ZBH,CMS,-5.6397487728083835,9.319137404958075e-06,0.029816179560480417,1
ZBH,ALB,-5.608989124157852,1.0774647282756037e-05,0.08799981024230942,1
APD,MET,-5.564475370860084,1.3276866158985811e-05,0.01853502398409518,1
RL,MAR,-5.527663573971159,1.5762621149978992e-05,0.03728060289124757,3
MET,BALL,-5.507777829812653,1.728674193249702e-05,0.015585389690870562,1
RL,TPR,-5.466628071875074,2.09054933808048e-05,0.04090477278683787,3
APD,CNP,-5.43911684169456,2.372163902660977e-05,0.05067080562990993,1
