Asset 1,Asset 2,T Statistic,P-Value,Volatility,Cluster
GOOGL,GOOG,-inf,0.0,6.503368832188579e-08,1
RSG,AAPL,-5.346242770994316,3.6190857527323534e-05,0.1463253213860192,1
CMCSA,HD,-5.3293596904662515,3.905180031480581e-05,0.03760237886289953,1
VTR,WELL,-5.073377285156638,0.00012040593120858786,0.02752742981273781,2
LKQ,ISRG,-5.0513751706887255,0.00013231249509909157,0.1428432297679873,1
HD,TER,-4.9184463081214655,0.000231877941492969,0.06133286822160172,1
C,MTB,-4.917922387246513,0.00023238432498737236,0.08669595478026451,2
TXT,AAPL,-4.821051755334286,0.0003464125772146791,0.10126180740724722,1
AFL,KO,-4.79588672838386,0.00038375146199322996,0.0218310331431262,1
CMCSA,TER,-4.574594545916075,0.0009210543004690894,0.05507743386360417,1
ANSS,ROL,-4.536417329070137,0.0010663423345238447,0.07649698134133551,1
BLDR,HD,-4.5285349492500915,0.0010988947312429425,0.21260396603799359,1
TXT,AME,-4.389476653082247,0.0018497291677580354,0.03471291586862584,1
LIN,AAPL,-4.283782026404112,0.0027135490191835844,0.11810667311077093,1
SLB,NVDA,-4.28144413491569,0.002736306388591722,0.08577488497903377,1
BLDR,DPZ,-4.264229113489299,0.0029093739758634155,0.19879686862335044,1
AME,AAPL,-4.207014933966266,0.003559535674570333,0.12475512135473835,1
APD,WDC,-4.20095622065525,0.0036356763904256064,0.06899150015816155,1
IPG,HSY,-4.199770527398836,0.0036507507721139187,0.02961348228817409,1
WAT,KO,-4.144864112719491,0.0044148452414284126,0.03065581536982069,1
