Asset 1,Asset 2,T Statistic,P-Value,Volatility,Cluster
GOOGL,GOOG,-inf,0.0,7.901420566363687e-08,4
RL,CMI,-5.479597701739911,1.9692534825676802e-05,0.055061084727277276,3
CPT,L,-5.316591415431634,4.135867549242417e-05,0.05598186921042721,2
CSCO,APD,-5.169067613769276,7.952868463095179e-05,0.04167873512201999,4
DIS,DD,-5.0210856359133205,0.00015055404729038538,0.21791340831377523,3
IEX,SWK,-4.875175149922512,0.0002774328310255186,0.045926060497783465,3
DUK,EVRG,-4.872413347656753,0.00028061169050352556,0.02749523191596562,0
RVTY,WAT,-4.765771139108267,0.00043344144986846503,0.04735270848274083,0
L,BXP,-4.742775019786385,0.0004754142659565529,0.05144030072971357,2
GWW,UNP,-4.741462778866834,0.00047792155058309243,0.06090182141455415,3
BSX,CI,-4.695203550179783,0.0005747176604524248,0.08235129285015898,0
NVR,PPG,-4.688703621934514,0.0005897141603229136,0.044534082248024166,3
HON,APA,-4.67858715867716,0.0006137898044040952,0.04247067524965143,4
IBM,AAPL,-4.661933202101517,0.0006554496692223709,0.11958449269342945,4
IBM,NTAP,-4.65437599769923,0.0006752187791982908,0.07622909059817604,4
AEP,ES,-4.588664121227671,0.0008723536037085499,0.03688254552443334,0
ITW,CSX,-4.535918565153654,0.001068375090179266,0.07151710923058321,3
JNPR,MSI,-4.519476942445207,0.0011374485703111194,0.0707762143781605,4
ADBE,MSI,-4.491790002838242,0.001263272677124454,0.07892149724290728,4
IBM,SBUX,-4.483003463309002,0.0013058434870290017,0.1373431416195153,4
