Asset 1,Asset 2,T Statistic,P-Value,Volatility,Cluster
CMS,XEL,-5.516336280400072,1.6614099970785868e-05,0.00908315378803833,1
TPR,T,-5.33626823098961,3.7855741554128625e-05,0.04303742424421054,1
GILD,MS,-5.14267869852931,8.923222008513206e-05,0.07106910413457548,4
GOOGL,GOOG,-5.090450542974427,0.00011187909781963387,0.010625685807025284,1
JPM,WFC,-4.970754416216829,0.00018627578720880266,0.011317865995973935,4
BAC,CBRE,-4.964147988585873,0.00019152428986110714,0.03164027646117761,4
GILD,GS,-4.941451379734134,0.0002106486499540195,0.032397326640467704,4
LNT,T,-4.927455563367643,0.000223332603637297,0.02217157230663333,1
NOC,KDP,-4.798043657272428,0.00038040760221209603,0.02722293168910416,1
HSIC,JNJ,-4.774556802639601,0.00041835012865391733,0.025820550043040364,1
DLR,REG,-4.727914788497342,0.0005045475498966964,0.0381960894187467,1
NTRS,PRU,-4.605545504379809,0.0008171071127800556,0.01988851402174525,4
NOC,JKHY,-4.542466083452632,0.0010419763400298138,0.022419138065204475,1
PPL,NI,-4.496667282991944,0.001240204731344978,0.04088988784159146,1
ES,XEL,-4.429457456297589,0.00159556637521538,0.012082392237181617,1
JPM,SCHW,-4.416043800065221,0.0016769764165936577,0.062109765520086624,4
CMS,PNW,-4.405488812851017,0.0017437326742211164,0.018479114042676003,1
CAT,ROK,-4.392203240583057,0.001831267411283175,0.023368913258336475,4
PNW,XEL,-4.390741855175513,0.0018411410965759334,0.014206495066849218,1
DFS,AME,-4.343015259645105,0.002192078750061625,0.021898963851444762,4
