Asset 1,Asset 2,T Statistic,P-Value,Volatility,Cluster
JPM,AIG,-5.8730682514816985,3.034525288837899e-06,0.011265887860214869,2
SNPS,ABT,-5.4586983674217215,2.1682287456614613e-05,0.02298762487636416,1
ABT,PANW,-5.3360947697825045,3.7885336432277234e-05,0.10818250633298852,1
SNA,HAS,-5.008898808522036,0.000158550005256616,0.0634772317800221,2
DIS,TSCO,-4.994123412606015,0.00016878768023622688,0.02741289319584487,1
NTRS,SNA,-4.849853399496528,0.0003079034744312842,0.020061551787116952,2
TFC,SCHW,-4.749028946871942,0.0004636346187577363,0.02540088666495041,2
ANSS,SNPS,-4.742355915049557,0.0004762136921952487,0.02333977170837135,1
FICO,ULTA,-4.738145217851876,0.0004843161592293787,0.03430690857697006,1
ORLY,DIS,-4.657168089566962,0.0006678504349100991,0.01880317239555053,1
WFC,KEY,-4.650036036258528,0.000686823899405068,0.028790393791860068,2
GS,AIG,-4.583890195127271,0.0008886009277468689,0.015073177217006867,2
MHK,TSCO,-4.56351321227286,0.0009611925398612621,0.033865820453067685,1
LNT,DTE,-4.515495440274146,0.001154791919888084,0.009116452729592994,3
AEP,ED,-4.496811745119649,0.0012395275054163592,0.010507947561179988,3
SPGI,AAPL,-4.45388631361343,0.0014566701362027934,0.022636150338191316,2
JPM,GS,-4.453294817175179,0.001459895868895247,0.012040028386506774,2
DUK,FE,-4.410187516612058,0.0017137160164937774,0.015332091619979293,3
TDG,FDS,-4.376709700963873,0.0019384942426049487,0.020194874068999016,2
D,DTE,-4.373292926897401,0.001962911368355317,0.013680464371841563,3
