Asset 1,Asset 2,T Statistic,P-Value,Volatility,Cluster
GOOGL,GOOG,-inf,0.0,4.743374027346537e-08,0
HII,DLR,-5.795406415141076,4.426461268719281e-06,0.055521742975822526,0
HD,YUM,-5.793381242074241,4.4700167018910565e-06,0.027193378918373527,0
MKTX,MCO,-5.599595201405806,1.126142722803899e-05,0.03180334069194375,0
NKE,RF,-5.448613083312399,2.2710546712364766e-05,0.15465381030902245,2
SWK,IP,-5.39469123021947,2.905714269702705e-05,0.029905926672824757,2
ADBE,PLD,-5.326835202385141,3.949786100420183e-05,0.03473868490276668,2
ORLY,MO,-5.308147488177908,4.295564884896133e-05,0.05659023136450051,0
O,SBAC,-5.270117075113346,5.091274623154025e-05,0.05741937035889476,0
MMM,URI,-5.226399367193368,6.181022949315558e-05,0.21617542491286235,2
CINF,AWK,-5.204757887265803,6.800091177605945e-05,0.05907816930569152,0
TPR,PKG,-5.190494867695089,7.240136350055064e-05,0.03561429648382174,2
TT,RF,-5.1760985393932435,7.711898966600694e-05,0.0961449583887734,2
DG,ABT,-5.131472642029128,9.368692537370145e-05,0.017818332771255548,0
HII,DVA,-5.087520573738548,0.00011330018507205232,0.050331081213770605,0
DLTR,NI,-5.0862119620423,0.00011394044188998342,0.044632376819832696,0
ROST,O,-5.0459838116835,0.0001353970514773043,0.06851155231285251,0
ALL,O,-5.0269328166881735,0.0001468555451460379,0.0461223258461322,0
SWK,AKAM,-5.02271938358527,0.00014951181163621067,0.06486234064163947,2
TRGP,FRT,-4.941946265648318,0.00021021293778918858,0.08695869791429273,0
