Asset 1,Asset 2,T Statistic,P-Value,Volatility
ADM,SPGI,-5.6454431178523965,9.071436579825605e-06,0.022410960760095446
IRM,SRE,-5.211515214600487,6.600676672829929e-05,0.023650155114162585
EL,VLO,-5.064171543901398,0.00012525756731574436,0.09368714596959697
BLK,QCOM,-4.940132894946049,0.00021181367893738148,0.06344656451396237
EL,PNR,-4.924556790435965,0.0002260489015153141,0.07527139874137906
KMB,WYNN,-4.877002403285817,0.0002753484587098212,0.15540516990550676
BLK,FE,-4.826467197820753,0.00033884019657468494,0.03794477861735957
EL,PG,-4.805950424406792,0.0003683840692689584,0.03715618465785884
OKE,PPL,-4.801320525342568,0.0003753802182313367,0.015709015529479033
CPRT,EIX,-4.7937479565980405,0.0003870946139997259,0.1434102382701942
BALL,MGM,-4.7486754242471685,0.00046429308365787816,0.03008472968396985
COO,EL,-4.745937176120102,0.00046942328333006433,0.03045659324621503
BDX,SPGI,-4.698779964390545,0.0005666202004817014,0.05693611393784502
CPT,UDR,-4.6944021099066005,0.0005765471157708087,0.014311672093744824
FE,L,-4.648857132269914,0.0006900085467426718,0.08828111651546061
COP,XOM,-4.606767205706433,0.0008132390735989732,0.02923190400458401
ALL,CCL,-4.54593553465983,0.0010282365335752524,0.04811464020095584
AON,MGM,-4.516943435411627,0.0011484560896381812,0.02559557500970792
BKR,HAL,-4.479717551891762,0.001322104695396096,0.021634236431006683
BKR,RCL,-4.453536603594001,0.0014585764808709694,0.06617429950970562
