Asset 1,Asset 2,T Statistic,P-Value,Volatility
CPT,REG,-5.870103965657006,3.078795195902273e-06,0.023849791632556475
EQR,REG,-5.690455248545686,7.325670022765374e-06,0.02244018798654754
BXP,REG,-5.6153780026232,1.0455287789080177e-05,0.04698842588871869
AJG,EG,-5.089255239881375,0.00011245677203990814,0.07389057031095078
BK,HIG,-4.987516160913576,0.00017356680478785886,0.11266861645514072
AIG,MMC,-4.924801003718057,0.00022581885543533192,0.0354938738573242
ARE,REG,-4.876404819663141,0.0002760284897421796,0.02401335217739268
AIG,TRV,-4.789691978265981,0.0003935103817433443,0.10632972070298612
AJG,FI,-4.771357080634526,0.0004237879295305919,0.06894120006457174
ALB,HIG,-4.717150671270764,0.0005266936103174869,0.1028446203227579
CB,LMT,-4.685500579051982,0.0005972389889749129,0.12055427111897482
BXP,DGX,-4.677946480065153,0.0006153452658270626,0.3431747264496192
AJG,NEE,-4.644166767122817,0.0007028169342553261,0.12149162672339774
AJG,BAX,-4.640192727565315,0.0007138437502843992,0.10313362665991248
AIG,HIG,-4.602385310654119,0.0008271928626936729,0.1262735297286581
PEP,UNH,-4.58687618839689,0.0008784056587821374,0.09738309785431448
MMC,TRV,-4.58418819354567,0.000887578491760121,0.10773660657466494
JNPR,RVTY,-4.520377426248984,0.0011335599747291198,0.1733824165055735
CPT,PLD,-4.516452879332531,0.0011505989142470406,0.021474611382102677
LH,DGX,-4.460679300084838,0.0014200972988796716,0.07403594319497371
