Asset 1,Asset 2,T Statistic,P-Value,Volatility
BR,IDXX,-5.807611080549504,4.17257368795954e-06,0.08304540315292605
BR,FSLR,-5.464022705198484,2.1157704685712683e-05,0.18062391193224603
MS,PTC,-5.421994200743745,2.5655470577156893e-05,0.03414555490931849
ETN,MTD,-5.415826436547003,2.6388606139827176e-05,0.03041466615680775
HAS,TXN,-5.393722108870238,2.918553996366282e-05,0.03176251727898573
ABT,GNRC,-5.310085188397289,4.258401890381676e-05,0.19998169636678037
IPG,ZBRA,-5.289385343958707,4.671900706400305e-05,0.0445656557447797
BRO,PCAR,-5.286963748591122,4.722722854968966e-05,0.02971532586762964
MET,MCHP,-5.2554531225324626,5.434425021720108e-05,0.04438675485149332
PPG,QCOM,-5.247580247589497,5.627709284458958e-05,0.09160507853511092
CARR,MTD,-5.204672836524141,6.802637530351686e-05,0.08956662926229064
NVDA,PG,-5.1720326241834,7.850382685562072e-05,0.09247097502306803
CAT,TXN,-5.124482878184164,9.657245893656935e-05,0.04788515006319108
HAS,STLD,-5.101160389771625,0.00010682817427209698,0.05663162991832543
AMP,BLK,-5.024309413897541,0.00014850407386342513,0.027460092575308567
CMG,EXPD,-5.021317809961245,0.00015040551265175665,0.037076972468820336
IT,L,-5.016755432173923,0.00015335008294414617,0.029613523642877913
PH,YUM,-4.997650659698856,0.00016628796251879762,0.10031657011484785
MCHP,USB,-4.985652182586317,0.00017493818633284607,0.0491367530514093
CMI,GNRC,-4.983559096780668,0.00017649042813828338,0.15217060189893217
