Asset 1,Asset 2,T Statistic,P-Value,Volatility
CPT,ESS,-6.913747861723798,1.3748252038883156e-08,0.019840541503642437
AMP,JPM,-6.627949529976701,6.401248672626469e-08,0.023320402816539396
CMG,ELV,-5.5464269294536575,1.4444133918140182e-05,0.10457474824698205
CB,NFLX,-5.25199071203759,5.518631213492943e-05,0.07980564829831707
BRK-B,SMCI,-5.223774364431482,6.253126317519087e-05,0.48096440743420743
CMS,ETR,-5.165474563248379,8.078780298531418e-05,0.015474250554588374
PNR,RJF,-5.06142844358854,0.00012673897354460931,0.03268160241534513
CRWD,ISRG,-5.053152412257673,0.00013131046441237158,0.07990460009880773
FI,L,-5.020260461589125,0.0001510830898934003,0.035929326458175405
CINF,HUBB,-5.016571994526046,0.00015346961591297274,0.06383421494531873
EMR,WM,-5.008836355073346,0.00015859200575095436,0.02932504203063709
DPZ,WDC,-4.940856374877097,0.0002111736468730752,0.07365136041268804
MET,PNR,-4.9262008070212895,0.00022450454402591708,0.04677427688359278
DELL,VST,-4.915741350577246,0.00023450366947134804,0.11743782250836445
FIS,PWR,-4.893906700749186,0.0002567575349157746,0.04303119173613232
MET,OMC,-4.885771757204056,0.00026555024808847406,0.020531710426552295
FIS,PRU,-4.881878639314576,0.0002698585639620969,0.04891803227365019
CAT,RJF,-4.875013931720075,0.0002776174517247758,0.06541701941158568
CINF,WM,-4.861535674326627,0.00029347121974481545,0.03283050724531192
CMS,FE,-4.812315331650767,0.0003589673850926687,0.012471463525944214
