Asset 1,Asset 2,T Statistic,P-Value,Volatility
ESS,WRB,-5.500987339864644,1.7839074065024015e-05,0.040318213758328975
EBAY,NFLX,-5.0718036145543755,0.00012122237365917448,0.2193641540474652
PCAR,SBAC,-4.99739654806007,0.00016646686288951477,0.564160759382442
ETR,PPL,-4.88212434177694,0.0002695847079396329,0.02850677486733529
KIM,REG,-4.752197631673954,0.0004577719264151018,0.04541384931977982
PCAR,WRB,-4.644506138780411,0.0007018827333933391,0.06479704220870322
ALGN,EBAY,-4.610364481769941,0.0008019492533759426,0.39553814830966516
TRMB,WMB,-4.5634486903696,0.0009614309730917082,0.25345767494988497
EBAY,KIM,-4.512769927989384,0.0011668063106884375,0.07573296869297247
PCAR,TPR,-4.4994327661286775,0.0012273001703681325,0.045661892655726705
KIM,NFLX,-4.48070446065842,0.0013172009809031824,0.2865841708307639
ESS,PCAR,-4.472322449761045,0.0013593944996364072,0.09427933042127153
UDR,WRB,-4.468027707336225,0.0013814984188400237,0.053034865677347796
ALGN,AMGN,-4.4568017428430045,0.0014408675692593154,0.4495482866203515
SBAC,WMB,-4.409832091052739,0.0017159696851851145,0.28566821195999226
CCI,SBAC,-4.392272731326658,0.0018307991310987405,0.37312736710270117
AMZN,TPR,-4.388112529625424,0.0018590303432090465,0.05605940527646854
EBAY,TRMB,-4.308835335588431,0.002480397251284256,0.11769905478395824
FMC,TAP,-4.290121769352618,0.0026527123968650076,0.12589011702846523
ESS,UDR,-4.21374133468497,0.0034767192806895593,0.019050027395112395
