Asset 1,Asset 2,T Statistic,P-Value,Volatility
HCA,LEN,-5.304465945139708,4.367033603293984e-05,0.044980346509223744
IDXX,WYNN,-5.214928408703953,6.50209405635991e-05,0.10154391803443251
BSX,CHD,-4.784984332488205,0.0004010830446719281,0.02214271673281137
BXP,PNC,-4.725850069806396,0.0005087262185241952,0.044469690632443507
PNR,TDG,-4.7171099520608175,0.000526779100168249,0.029983705434716998
NVDA,PWR,-4.543704306075904,0.0010370531075015656,0.2560957905915247
LW,PHM,-4.298023219799589,0.002578650958362488,0.09191413298533671
PRU,RJF,-4.243503306358327,0.0031310890413175003,0.0325492724486387
SCHW,PNC,-4.242076856532582,0.003146905955967295,0.08804016431910021
BSX,NVR,-4.239344136161482,0.003177412562130026,0.04690299439997151
GE,NVR,-4.160218245135833,0.004187647024913392,0.09763176139068161
BKNG,NVR,-4.132680580351253,0.004603076332197448,0.043950688307795124
NVR,SYK,-4.1179954264075675,0.004839674231054437,0.03159434878104898
CDNS,META,-4.06635031746337,0.005762400282337465,0.19420023124390476
FDX,NVR,-4.025236704368561,0.006608104626859386,0.03855985296652733
CFG,KEY,-3.9878699815378886,0.007472474063800189,0.08231874909158403
CPRT,PWR,-3.9720928213979216,0.007867097197962114,0.05833183570559866
DUK,PPL,-3.964423020067409,0.008065632647805578,0.0131691600149431
BKNG,FDX,-3.9517875822427073,0.008402550941481374,0.03630836747358691
ADM,TPL,-3.951316593874291,0.008415350644998171,0.1389940624162122
