Asset 1,Asset 2,T Statistic,P-Value,Volatility
GOOGL,GOOG,-inf,0.0,1.2419495093795493e-07
DECK,IBM,-5.905499722867502,2.5888763224534046e-06,0.16193012449660607
AXON,EBAY,-5.7944990477179035,4.445924818317462e-06,0.23184698615548885
AIZ,PHM,-5.567041627934874,1.3118489178397658e-05,0.05660656557500781
MLM,WEC,-5.355199126397594,3.475614309495283e-05,0.05728884769265691
CMS,EOG,-5.328893786383745,3.9133756288405226e-05,0.04944095435535746
LKQ,TFX,-5.301308806453006,4.429231363777096e-05,0.09121431795595279
BA,DTE,-5.217586666645163,6.426295756867743e-05,0.04627978530904491
AIZ,MCK,-5.206138062292356,6.75889733035573e-05,0.06250660657452625
MNST,UNH,-5.091870670097894,0.00011119645461680107,0.2726709448984163
AVB,PLD,-4.879183237156959,0.00027288020139860285,0.01853952001340792
CVS,DTE,-4.850585805611548,0.0003069792417424833,0.053850098004816944
BK,EBAY,-4.787869872509465,0.00039642521831034213,0.15053614039971724
BF-B,MNST,-4.603570319877763,0.0008233972988369856,0.26336860004805196
CMS,OXY,-4.580307947215817,0.0009009783763612618,0.03415130035336928
MCK,PHM,-4.567088355989124,0.000948067217780994,0.039212641781766866
BF-B,DTE,-4.432462123824402,0.0015778415689853716,0.051183174838369074
CNP,COP,-4.296706889415759,0.002590855149335036,0.05613544017414767
CI,PRU,-4.27041498309816,0.002846057407871125,0.04694162556076427
ETR,EXC,-4.229960926016959,0.0032842427828779883,0.022707295226577814
