Asset 1,Asset 2,T Statistic,P-Value,Volatility
AIZ,UNH,-5.987869434556914,1.7242563881276813e-06,0.02511448181996221
AOS,GD,-5.910169123962138,2.530203840792427e-06,0.027753467186288475
DOW,EOG,-5.815337969787972,4.0192109393175446e-06,0.1590350719341707
EMR,PNC,-5.717818040591091,6.428636141313717e-06,0.0813608904317339
JBL,KDP,-5.652218317271306,8.78502121785949e-06,0.07710403564569117
EMR,OKE,-5.588347483294705,1.187230167931645e-05,0.13885431439130883
DRI,HPE,-5.422086133946895,2.5644692809498563e-05,0.07586492160181402
DRI,URI,-5.419344790605659,2.5967956509334412e-05,0.08072960597923821
ALLE,LIN,-5.392065443481422,2.9406295593981613e-05,0.03423510241679165
GE,WYNN,-5.315341709979318,4.1591375815732215e-05,0.06866923689713209
COP,VLO,-5.29554732035151,4.5449379137436186e-05,0.053151096307241005
DRI,LYB,-5.295465189876465,4.546608136166242e-05,0.04643725489264709
AMAT,NXPI,-5.293828015912784,4.580025381542531e-05,0.13943827492224142
TPR,TRV,-5.196843506356715,7.040997673136306e-05,0.21673136696730455
AVY,VICI,-5.191310747164268,7.214245518134578e-05,0.07442131232067811
QRVO,TRMB,-5.1742101127720055,7.775924580267572e-05,0.05414124548633827
LKQ,TT,-5.154598700820564,8.471645354001612e-05,0.042893995966262644
BX,STX,-5.153795479371366,8.50137400423654e-05,0.05156516666831148
SCHW,CFG,-5.101221617719076,0.00010679993484107406,0.031739186127062745
CZR,KIM,-5.098231469940065,0.00010818741295187769,0.05727467535505548
