Asset 1,Asset 2,T Statistic,P-Value,Volatility
GOOGL,GOOG,-inf,0.0,7.300015661214105e-08
COR,TYL,-5.428035735812582,2.495639838236922e-05,0.02189932226444736
NDSN,NVDA,-5.330711275080448,3.8814979668280694e-05,0.06405453848356993
AVB,ROK,-5.304290200198734,4.370473717158322e-05,0.03463521475959532
MCO,GWW,-5.278720963510686,4.899726150054145e-05,0.06358962051605496
DXCM,IDXX,-5.278445545545847,4.905749069610687e-05,0.10165334917433412
AVB,SBAC,-5.109776166138905,0.00010292379788522225,0.06861471287089987
CPT,GILD,-4.957195999130624,0.00019719916412567893,0.04671473746091306
ROK,SBAC,-4.921041398096884,0.00022938513937429615,0.053610391193911415
HPQ,NDSN,-4.918728900754017,0.00023160524366408862,0.04586309495478172
HPQ,NVDA,-4.89469612294018,0.00025591915299361177,0.09436601028654854
GILD,RJF,-4.793582916213761,0.0003873537332317309,0.0367111302333638
AVB,CSX,-4.788157176428056,0.0003959642640842686,0.022884285838731665
AVB,WM,-4.787564603036474,0.0003969155527288147,0.02305840217939576
EXPD,FAST,-4.779794114010577,0.00040959159762006737,0.037399715376506396
DVA,MTD,-4.733663992800625,0.0004930820153271105,0.0265567700265873
CHRW,EXPD,-4.705086786810472,0.0005526020656994165,0.020647519806816724
PNC,WRB,-4.700888271512435,0.0005618972131210741,0.07993208689840839
LKQ,UNP,-4.69874862777337,0.0005666906814462035,0.06208573252155852
EMR,NSC,-4.651534484235948,0.0006827959924916358,0.0525395865968249
