Asset 1,Asset 2,T Statistic,P-Value,Volatility
ADBE,WY,-5.522789739429409,1.612369123004874e-05,0.05974372546059295
ACGL,HIG,-5.46329040927059,2.1229121230814097e-05,0.07650021551484416
IT,SMCI,-5.353952838499492,3.495245526983128e-05,0.12829496570314128
A,AME,-5.138681897140412,9.079728180071421e-05,0.021333759470432246
CI,ERIE,-5.095659997041453,0.00010939438234968485,0.06209465719700522
A,AXON,-4.936475528312718,0.00021507752927273186,0.16167052996191297
AME,TXT,-4.910619656690516,0.00023955292250250705,0.03666684076367609
IT,TT,-4.8866099174988635,0.00026463127822868963,0.025487474805092235
AXON,DRI,-4.831759141696683,0.0003315921457221772,0.16579109339615467
EQR,INVH,-4.807182846642312,0.00036654268003821305,0.016380847026316796
TXT,WAB,-4.805711340594429,0.00036874230202669085,0.023046111170157348
ROST,SBUX,-4.794911885320088,0.0003852718548314737,0.06558503046583178
A,JCI,-4.779391646994327,0.0004102584596642529,0.04115897249212138
AFL,A,-4.7733009360185905,0.0004204765146764316,0.0289880383567205
CDW,DOV,-4.7608551499372584,0.00044210870324135033,0.023653748433557116
CPT,WST,-4.758675009919785,0.00044600462765614576,0.06201032096018143
ROK,SNA,-4.752478320258667,0.00045725598629238717,0.04659830795589428
PCAR,STLD,-4.737272681178119,0.00048601133938330114,0.09445965502438076
A,TJX,-4.687261577783468,0.000593090800397227,0.040640851814684534
MTD,WAB,-4.661396640838218,0.0006568351206252648,0.03737346220880984
