Asset 1,Asset 2,T Statistic,P-Value,Volatility
STZ,WMB,-7.959739521063462,3.8132782367533334e-11,0.04210687218930283
ODFL,WMB,-5.827914529946974,3.78123273145633e-06,0.032242766109122294
DHR,FDX,-4.947891520171615,0.00020504511058471256,0.027553562880758442
ADSK,PNR,-4.898202238960191,0.00025222689615012707,0.09635975145980549
ALB,LIN,-4.863789869761649,0.00029076125488576885,0.026050317221629295
MTCH,TRV,-4.588382813514238,0.0008733032162080603,0.0857015156227778
ETR,SO,-4.557598132093282,0.000983282718593766,0.030935002752639534
EXPD,ROP,-4.524471538756912,0.0011160363371378746,0.04823845872144151
BAC,PNW,-4.50267184487215,0.0012123450809485208,0.01458193538029619
AME,JBHT,-4.482709556527711,0.0013072903312524814,0.0444744902717707
EXPD,PNR,-4.479220745388201,0.0013245796454581392,0.04143572256867346
EQT,ROP,-4.418273466401095,0.00166318194032108,0.025191579206769493
OXY,TPL,-4.403863859560946,0.001754226471562817,0.0891539295602294
AMT,JBHT,-4.350401363269036,0.0021339963434914,0.035889427326653345
EQT,PNR,-4.281358087722466,0.0027371473316086326,0.024315066393324796
AMT,EXPD,-4.264531041248287,0.002906253673722437,0.03603763369817737
PSA,REG,-4.226222954590385,0.0033277121869064535,0.023369973446152905
AEE,SO,-4.154285820811224,0.004274132302885299,0.01674885534541282
ESS,RF,-4.1211886163461395,0.004787304121533132,0.02287825612981626
AMT,WMB,-4.096271635745596,0.005210037029041875,0.0370302789922682
