Asset 1,Asset 2,T Statistic,P-Value,Volatility
ADM,AZO,-7.635419278777741,2.4511664663873746e-10,0.08259670664791012
AZO,CNC,-6.645705250073486,5.824274484941402e-08,0.1377920717283592
AZO,WMB,-6.448141725263534,1.651428296103139e-07,0.08351805888599155
AES,AZO,-6.416828295432851,1.944471235073973e-07,0.09001167303040732
AZO,STZ,-6.230115058587321,5.093444540921402e-07,0.062602231092835
PLD,REG,-5.780157269231112,4.764832492127694e-06,0.030334322983814804
BDX,DGX,-5.700422757163779,6.985679742090288e-06,0.021670965728290387
AIZ,ATO,-5.6726890061715585,7.971865601479082e-06,0.055958621442012545
CSX,FFIV,-5.632291588086166,9.65344503281424e-06,0.19980731288694364
CTSH,CSX,-5.60679272374736,1.0886603816781662e-05,0.10593439253344125
DECK,KIM,-5.557749870748822,1.3700754229895405e-05,0.09629488081261958
AME,AZO,-5.5034237104951504,1.7638969384277906e-05,0.029135977527267966
DECK,GRMN,-5.471897946587376,2.040418517899678e-05,0.047793361077230236
ATO,MLM,-5.450734740243257,2.2490397021397e-05,0.0500160146774142
DECK,VRSN,-5.396514710564709,2.8817026589713723e-05,0.09996766481338702
ALL,MLM,-5.3529343335290696,3.511367966375654e-05,0.05233305293120189
BALL,GPC,-5.352068277326976,3.5251334995825274e-05,0.02600519781564423
DHR,PH,-5.343706034006438,3.660746473391027e-05,0.06915876961001054
GRMN,KIM,-5.31381225624541,4.187787984992354e-05,0.11275771336104672
AVB,DECK,-5.3107239943391,4.246218175171801e-05,0.08119403707057447
