Asset 1,Asset 2,T Statistic,P-Value,Volatility
AXP,IVZ,-5.201994834789653,6.883283976873818e-05,0.07163327741670271
A,SCHW,-5.005093216873034,0.0001611287544253246,0.06770315908779966
AMT,SCHW,-4.689634580043328,0.0005875438876986851,0.08936689103958338
DOC,SO,-4.574082536948297,0.0009228737307762116,0.06072257163617777
SCHW,GS,-4.525537304837775,0.0011115163545582284,0.1384434381951183
IFF,VTRS,-4.294583584687602,0.0026106534745841794,0.0468729284964349
EFX,FRT,-4.090294646915679,0.005316365762095627,0.06016155439820561
ED,VTR,-4.004852762612353,0.0070677185333603235,0.1120597914690672
BA,RTX,-3.8945997189315493,0.010090890511749875,0.04406703937282967
GILD,MCO,-3.7817829854584812,0.014332801773458997,0.1578830908017218
GPN,MAA,-3.769635190987825,0.014872509236837552,0.16938762747729738
AZO,MAA,-3.7044800941205365,0.018083801362088286,0.1469788057323865
AZO,CPT,-3.6094649528799287,0.023848558835053123,0.14967384327591618
A,JNPR,-3.5955843254117883,0.024811499775371802,0.3941043837717817
A,GLW,-3.5536081369624593,0.027929924885618088,0.235821403083184
CPT,EQR,-3.491679418903343,0.033140151927436516,0.024323395383540954
UDR,WELL,-3.432847472001191,0.03883090069063142,0.04045188279040698
HRL,SWK,-3.3513712269323546,0.048046005108436686,0.0329324086116222
