Asset 1,Asset 2,T Statistic,P-Value,Volatility
JNPR,NTAP,-5.237973955809937,5.872495942048863e-05,0.17571726071375465
CPRT,TFX,-5.200662222032802,6.923755564038558e-05,0.05497001501700767
MTB,SPG,-4.77769932949538,0.0004130737690897866,0.07663486615094356
DTE,SO,-4.641824690668126,0.0007092959903660232,0.03705247135757321
BWA,ETN,-4.590851925032282,0.0008650011952003135,0.09934229263471757
CAT,TFX,-4.555696841959293,0.0009904835329628144,0.048630763662710935
GPC,RF,-4.395821745642445,0.0018070304864738545,0.04825996711080793
RF,SPG,-4.391132664372096,0.0018384958103249622,0.06521564153276013
AXP,MMC,-4.388067128977351,0.001859340649085185,0.05379384432280857
GPC,MTB,-4.286845076996667,0.0026839969211141386,0.04649618598965938
MKC,VRSN,-4.279847775400783,0.0027519465242703822,0.6572882875266886
MHK,RF,-4.232936052250397,0.003250018133963853,0.0504573006614242
SCHW,JNPR,-4.214367779368283,0.0034690971111165465,0.3282179455585422
MTB,RF,-4.210325949409923,0.003518546440275836,0.03505891904688996
NUE,TFX,-4.18998315148451,0.0037773890541244887,0.057115385852515334
SWK,TGT,-4.13531344855051,0.0045617899801447225,0.057941456554751226
NUE,WY,-4.07997437397301,0.005504614926462688,0.05401228510174892
DOC,UDR,-3.878413537279593,0.010620887374690075,0.034544166107298276
AKAM,CSCO,-3.8515733161991292,0.01155463183448609,0.2549961487726713
CPRT,EMN,-3.7895094272828453,0.013998593088534711,0.052536134458475
