Asset 1,Asset 2,T Statistic,P-Value,Volatility
FMC,TXT,-7.2789467885785335,1.8325405632978355e-09,0.0452843873138592
TXT,UPS,-6.07309873634093,1.127260379083707e-06,0.08678466944816955
HST,UPS,-5.801453542734311,4.298844841564897e-06,0.13186518456203897
ETR,FAST,-5.699191706415291,7.026827505483219e-06,0.056345877067558364
APD,IPG,-5.5465602393061255,1.4435159112964129e-05,0.07078365679060117
AOS,MGM,-5.501196789777734,1.7821785691348273e-05,0.07655176359256577
LMT,MDLZ,-5.454452042798057,2.2109631965938478e-05,0.049205333902353564
CINF,RVTY,-5.408417936172847,2.729593737198957e-05,0.42372807357972636
ETR,STLD,-5.40548926078316,2.766284631685376e-05,0.13771857834380824
O,STLD,-5.265578487638423,5.1951942133113506e-05,0.1419244918245212
FMC,HIG,-5.112093097366588,0.00010189735065162537,0.0934189123443347
AOS,RF,-5.088221707179347,0.00011295856137002486,0.15182789014245626
KLAC,PCAR,-5.078723334099872,0.00011767137256248522,0.08462466027624971
AMZN,ROK,-5.047889825963364,0.00013429880431151757,0.17316620855582787
MGM,TPR,-4.965340254599159,0.0001905667970659069,0.09147707280270735
ITW,GWW,-4.952559496282792,0.00020107246666132265,0.02921236727511727
ITW,RTX,-4.928147911239242,0.00022268844377489557,0.03497540830283179
HON,TT,-4.895639701556387,0.00025492046385509984,0.03373628748610983
NDSN,TYL,-4.85782037498754,0.0002979900436371168,0.11605944304041482
PNR,PGR,-4.841420123220341,0.0003187373306746534,0.07797994927274407
