Asset 1,Asset 2,T Statistic,P-Value,Volatility
EQIX,SPGI,-5.9799772191126594,1.7930596515666863e-06,0.021942927860200214
EQIX,MCO,-5.978040896278116,1.8103447367836977e-06,0.019899378679846216
PLTR,SMCI,-5.764336856328028,5.1423938753885425e-06,0.16607842448245805
AMZN,NVDA,-5.202427753351457,6.870185070585033e-05,0.13621829344421213
AMCR,CCI,-5.0305268072557,0.00014462541761457905,0.054962841841772664
AMCR,MTD,-4.941928382938723,0.00021022866731753423,0.05659218947457149
CMCSA,ROP,-4.779714110095409,0.000409724077320382,0.03500183683265432
AKAM,FICO,-4.759236079224002,0.0004449989057742527,0.04193745249030484
AME,CCL,-4.720561094532578,0.0005195796904646354,0.1939331575148747
AKAM,LLY,-4.585084807176876,0.0008845088468212669,0.08531288858950917
ACN,NOW,-4.556853565000064,0.0009860967822543888,0.045447145307265804
MMC,WMT,-4.55501730046066,0.00099306913428571,0.023763574656370214
AMZN,LRCX,-4.520361127146556,0.0011336302492719963,0.03525538694932912
MAS,SWK,-4.46898623725287,0.0013765362728231365,0.023606442617993433
DHI,ECL,-4.451958832836485,0.0014672061702573895,0.049090782490894685
KLAC,PLTR,-4.42160707125196,0.0016427542326485488,0.21241901667256674
BMY,FMC,-4.41092759521001,0.001709032175800498,0.15320463923078442
LNT,CNP,-4.3222876024004515,0.0023629795970586034,0.010244195966179002
KLAC,SMCI,-4.321120958004191,0.0023729554470475183,0.3523440194133514
NTAP,STE,-4.3090738778188795,0.0024782690335005434,0.029276379331627217
