Asset 1,Asset 2,T Statistic,P-Value,Volatility
DOV,GE,-5.601891452605575,1.1140509563039923e-05,0.05100641541274864
EBAY,MAA,-5.425766693350703,2.5216770656872787e-05,0.04020419006328039
CTSH,UHS,-5.257638541752998,5.3819118766078583e-05,0.04378583797145994
GOOG,WST,-5.207387870526214,6.721801028442628e-05,0.05007941329461284
AME,VMC,-5.150343291364579,8.630286494324699e-05,0.02343572674444736
FOX,SWKS,-5.065020435389555,0.00012480248483513612,0.05612098819052332
GOOGL,WST,-5.006998795414901,0.00015983253770984003,0.0491407073491871
DVA,SYK,-4.9685394588004845,0.00018802002208759784,0.04442581924929626
FOXA,SWKS,-4.926803563981683,0.00022394084233306764,0.05307469255132987
ALGN,FOXA,-4.8448878677436165,0.0003142394512628233,0.1908771254181087
BBY,CSCO,-4.738843885987062,0.0004829627987545321,0.048553230201751646
CMS,DUK,-4.7277701686395845,0.00050483918014561,0.009780548792909054
PNR,QRVO,-4.725295389441512,0.0005098543557590966,0.05118533973601856
AME,MLM,-4.7236143052988355,0.0005132878614562023,0.023146331070645267
PNR,USB,-4.689682390464355,0.0005874326341988606,0.029006576335569585
AXP,GE,-4.684503077761687,0.0005996007972211475,0.05551651514029231
BBY,SPG,-4.675269549484236,0.0006218846412187761,0.03814649244345341
ALGN,FOX,-4.6663046354502855,0.0006442642203022941,0.195880017309131
POOL,QRVO,-4.6509425979795385,0.0006843843526113574,0.05006418260714021
ISRG,LYV,-4.634802363722472,0.0007290604725709323,0.0463799364179488
