Asset 1,Asset 2,T Statistic,P-Value,Volatility
CINF,POOL,-6.552561551724898,9.543223079458095e-08,0.10890506986319344
CINF,TSCO,-6.136362375887955,8.19927546855645e-07,0.21544607504473853
EIX,WAB,-5.975737609724596,1.831117124269145e-06,0.04568814637219785
DVA,ROP,-5.892851565349522,2.7545345262143177e-06,0.040330776272235726
STLD,TFC,-5.819098316260204,3.946571330544567e-06,0.06626005524920078
CSCO,DVA,-5.793314277299356,4.471464001886662e-06,0.04866263106284886
DVA,STLD,-5.663725179286297,8.318535571870158e-06,0.06720886072542415
CINF,JBHT,-5.582515876086183,1.2201520553556996e-05,0.20666289665912665
PEP,WELL,-5.507027468293634,1.7346954215351848e-05,0.026156289203431528
IPG,OMC,-5.50305826153889,1.7668845735878873e-05,0.05099047632347337
ARE,REG,-5.497978846828208,1.808919475267402e-05,0.01786622633132939
OMC,TGT,-5.488799246677916,1.8873477428341734e-05,0.02811686335082802
ACN,ON,-5.478630103856167,1.9780631003844808e-05,0.3583175486956189
IEX,OMC,-5.472983108660456,2.0302407065698897e-05,0.03213993230743557
ACN,INTC,-5.439896885015996,2.3636975287404722e-05,0.07143967989930859
PRU,STX,-5.37720410746644,3.145987610510938e-05,0.3059654047396282
HUBB,KR,-5.310193312871034,4.2563373110705356e-05,0.04358322624299143
IVZ,RJF,-5.2930279691778885,4.596441301509377e-05,0.09030113855506033
RTX,STX,-5.289987039255519,4.6593546421550096e-05,0.2743707458047403
HIG,MCD,-5.285361643329479,4.756637842826095e-05,0.06268097717906604
