Asset 1,Asset 2,T Statistic,P-Value,Volatility
NTAP,SLB,-5.655381496212844,8.65431956827933e-06,0.19469626598791526
PCG,XEL,-5.512784902490395,1.68900897524526e-05,0.1702949764891526
AAPL,WMB,-5.486385667305131,1.9085077770154846e-05,0.6963581365594992
ADP,WMB,-5.4819098072122605,1.9483557296604416e-05,0.7402344380698579
ADP,TROW,-5.400715631391362,2.82711020666513e-05,0.03864066142129925
HD,TGT,-5.3409777174885615,3.7060684473140263e-05,0.10789758342108267
SLB,WMB,-5.340142983393724,3.720042320864486e-05,0.7727375565199727
BAX,HIG,-5.305009532474339,4.356409638507006e-05,0.08061046268509897
CMS,HD,-5.281905608248211,4.830597338678699e-05,0.1822292471554987
AMAT,IPG,-5.231705610409643,6.037699466498498e-05,0.06498521824089985
AXON,EVRG,-5.180626647009278,7.560427839265011e-05,0.3301271888483302
ADBE,DIS,-5.1389437431143845,9.069394955921273e-05,0.11796412747410998
AEP,DUK,-5.0245419841615115,0.0001483572183596915,0.06039091244953675
INCY,PTC,-4.97614182424884,0.00018209737979050464,0.13738250613011507
AMT,NTAP,-4.9612312873534306,0.00019388599177558495,0.1472670781216559
ADI,WMB,-4.937766863388495,0.00021391971239293996,0.6597710088362156
SLB,LUV,-4.919750861088478,0.00023062160826475633,0.053881127212876544
MTD,TROW,-4.898804469091832,0.00025159780572997015,0.055433573023928935
CVX,BEN,-4.89328095224117,0.00025742394415086996,0.04114988153460968
DOV,NTAP,-4.860813022895534,0.00029434504017664934,0.18735674272433042
