Asset 1,Asset 2,T Statistic,P-Value,Volatility
SO,XEL,-5.744136523317872,5.666892596581057e-06,0.018034106392397987
EBAY,PLTR,-5.381414688247244,3.0864430951624505e-05,0.21146730318364143
AME,VMC,-5.296082440767774,4.534070021926743e-05,0.02484769221105369
CPRT,TROW,-5.146522783794421,8.775133870053579e-05,0.08213431227309406
JCI,ROK,-5.090093452329025,0.00011205137733121533,0.04372295019067514
AEE,ETR,-5.056164750544483,0.00012962859303141332,0.01730213281893846
ADBE,KMX,-5.033016228009799,0.0001430996688258077,0.040454180950432024
APH,MTD,-4.984814731386505,0.00017555767704639273,0.02505146646923508
GOOGL,GOOG,-4.896434042944845,0.00025408259811313046,0.002731963441851081
GD,NEM,-4.879668416990707,0.00027233393948690086,0.06746544822284423
MMM,AVY,-4.846913423858816,0.00031164007892717406,0.030386919775958914
CHTR,MTCH,-4.818358349858931,0.00035023814940797796,0.11875873420231423
JNJ,SO,-4.775607743170346,0.00041657853110360437,0.03382191347654775
AEE,JNJ,-4.74812543420234,0.00046531924089359024,0.017193077783242715
HD,KEYS,-4.743907311722493,0.00047326079225248614,0.03566180296072342
A,CPRT,-4.695514674505243,0.0005740089287276693,0.031706988461959726
APH,AMAT,-4.686869812929862,0.0005940112837102873,0.05635216521832806
CMS,JNJ,-4.681869895834546,0.0006058777682158708,0.02554816640140048
APTV,GS,-4.6753417738931455,0.0006217073514663047,0.12075860695768326
FANG,SLB,-4.665992067756639,0.0006450580061056079,0.04597177909621618
