Asset 1,Asset 2,T Statistic,P-Value,Volatility
GOOGL,GOOG,-inf,0.0,9.596560281189412e-08
AON,HOLX,-5.367392450910297,3.28906357881641e-05,0.06763908495406647
COP,HES,-5.170666681926929,7.897438428043764e-05,0.038450498188047924
ARE,COR,-5.109631933672346,0.00010298802156964814,0.025508421265400465
LKQ,MET,-4.921700831896694,0.00022875576766950945,0.08755301718354248
FE,PPL,-4.795801914018274,0.0003838835151271654,0.0193295253410975
CSGP,SBAC,-4.760196458668702,0.00044328238666716967,0.1253894274192985
CBRE,DLR,-4.733128003885182,0.0004941404466557755,0.03883107434692795
L,WAB,-4.7254526837362985,0.0005095342031120059,0.03429643661422819
NDAQ,VRTX,-4.656202296202596,0.0006703905708371935,0.10942357150416714
DVN,SRE,-4.625269769644999,0.0007567191260581081,0.08294702283612251
AMD,J,-4.622695663638849,0.0007643551224387528,0.09226316180888164
COR,MET,-4.618750751355695,0.0007761981210399022,0.029413935858255205
CCI,PFG,-4.509188522522582,0.0011827711464010094,0.08634807601431797
CSGP,LKQ,-4.473853629037743,0.0013515939608676026,0.07620421568717681
GLW,MET,-4.443546787141081,0.0015140242009487224,0.12074531118088591
AVB,MAA,-4.430948407415865,0.0015867481003589165,0.017520784539365248
CBRE,CCI,-4.425315712596218,0.0016203025760058894,0.051787056505681134
BKR,PPL,-4.383503960540255,0.0018907754468729559,0.0510216843704692
COR,EQT,-4.333284521707371,0.0022708327641643863,0.033583731146291616
