pair,formation_period,trading_period,cumulative_returns
"('CPT', 'REG')","(datetime.date(2000, 1, 4), datetime.date(2000, 9, 11))","(datetime.date(2000, 9, 12), datetime.date(2001, 3, 11))",1.3745970726013166
"('EQR', 'REG')","(datetime.date(2000, 1, 4), datetime.date(2000, 9, 11))","(datetime.date(2000, 9, 12), datetime.date(2001, 3, 11))",1.9023170471191397
"('BXP', 'REG')","(datetime.date(2000, 1, 4), datetime.date(2000, 9, 11))","(datetime.date(2000, 9, 12), datetime.date(2001, 3, 11))",1.4111013412475586
"('BK', 'AJG')","(datetime.date(2000, 1, 4), datetime.date(2000, 9, 11))","(datetime.date(2000, 9, 12), datetime.date(2001, 3, 11))",6.024441719055179
"('AJG', 'EG')","(datetime.date(2000, 1, 4), datetime.date(2000, 9, 11))","(datetime.date(2000, 9, 12), datetime.date(2001, 3, 11))",-9.10542297363282
"('BK', 'HIG')","(datetime.date(2000, 1, 4), datetime.date(2000, 9, 11))","(datetime.date(2000, 9, 12), datetime.date(2001, 3, 11))",14.144392013549805
"('MMC', 'AIG')","(datetime.date(2000, 1, 4), datetime.date(2000, 9, 11))","(datetime.date(2000, 9, 12), datetime.date(2001, 3, 11))",53.870296478271484
"('ARE', 'REG')","(datetime.date(2000, 1, 4), datetime.date(2000, 9, 11))","(datetime.date(2000, 9, 12), datetime.date(2001, 3, 11))",3.298341751098633
"('DGX', 'BXP')","(datetime.date(2000, 1, 4), datetime.date(2000, 9, 11))","(datetime.date(2000, 9, 12), datetime.date(2001, 3, 11))",14.237308502197264
"('AIG', 'TRV')","(datetime.date(2000, 1, 4), datetime.date(2000, 9, 11))","(datetime.date(2000, 9, 12), datetime.date(2001, 3, 11))",57.861026763916016
"('BAX', 'AJG')","(datetime.date(2000, 1, 4), datetime.date(2000, 9, 11))","(datetime.date(2000, 9, 12), datetime.date(2001, 3, 11))",4.040280342102047
"('AJG', 'NEE')","(datetime.date(2000, 1, 4), datetime.date(2000, 9, 11))","(datetime.date(2000, 9, 12), datetime.date(2001, 3, 11))",2.609999656677255
"('PLD', 'CPT')","(datetime.date(2000, 1, 4), datetime.date(2000, 9, 11))","(datetime.date(2000, 9, 12), datetime.date(2001, 3, 11))",2.084666252136234
"('AIG', 'HIG')","(datetime.date(2000, 1, 4), datetime.date(2000, 9, 11))","(datetime.date(2000, 9, 12), datetime.date(2001, 3, 11))",84.57479095458984
